Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Baker B.J., Dupras T.L., Tocheri M.W., Wheeler S.M.","7401449331;6602400982;9433025300;55181458900;","osteology of infants and children",2005,"Osteology of Infants and Children",,,,"1","178",,117,,2-s2.0-84896571308
"Lewis M.E.","","The Bioarchaeology of Children: Perspectives from Biological and Forensic Anthropology",2007,"The Bioarchaeology of Children: Perspectives from Biological and Forensic Anthropology",,,,"","",,347,,2-s2.0-35348829135
"Saunders S.R.","","Subadult skeletons and growth-related studies",2000,"Biological Anthropology of the Human Skeleton",,,,"135","162",,91,,2-s2.0-0000246466
"Scheuer L., Black S.","",[No title available],2000,"Developmental Juvenile Osteology",,,,"","",,1288,,2-s2.0-0004177176
"Ferembach D., Schwidetzky I., Stloukal M.","","Recommendations for age and sex diagnoses of skeletons",1980,"J Hum Evol","9",,,"517","549",,612,,2-s2.0-0000884253
"Buikstra J.E., Ubelaker D.H.","","Standards for data collection from human skeletal remains",1994,"Standards for Data Collection from Human Skeletal Remains",,,,"","",,2464,,2-s2.0-0003655056
"Bruzek J.","6602595244;","A method for visual determination of sex, using the human hip bone",2002,"American Journal of Physical Anthropology","117","2",,"157","168",,530,"10.1002/ajpa.10012",2-s2.0-0036159009
"Albanese J.","7005396001;","A metric method for sex determination using the hipbone and the femur",2003,"Journal of Forensic Sciences","48","2",,"263","273",,97,,2-s2.0-0037346533
"Boucher B.J.","35126734600;","Sex differences in the foetal pelvis",1957,"American Journal of Physical Anthropology","15","4",,"581","600",,55,"10.1002/ajpa.1330150409",2-s2.0-0000874472
"Weaver D.S.","57214630964;","Sex differences in the Ilia of a known sex and age sample of fetal and infant Skeletons",1980,"American Journal of Physical Anthropology","52","2",,"191","195",,94,"10.1002/ajpa.1330520205",2-s2.0-0019190920
"Schutkowski H.","6701906311;","Sex determination of infant and juvenile skeletons: I. Morphognostic features",1993,"American Journal of Physical Anthropology","90","2",,"199","205",,189,"10.1002/ajpa.1330900206",2-s2.0-0027392736
"Cardoso H.F.V.","23394620800;","Sample-specific (universal) metric approaches for determining the sex of immature human skeletal remains using permanent tooth dimensions",2008,"Journal of Archaeological Science","35","1",,"158","168",,40,"10.1016/j.jas.2007.02.013",2-s2.0-35748972623
"Sutter R.C.","14044073100;","Nonmetric subadult skeletal sexing traits: I. A blind test of the accuracy of eight previously proposed methods using prehistoric known-sex mummies from Northern Chile",2003,"Journal of Forensic Sciences","48","5",,"927","935",,57,,2-s2.0-0042320315
"Vlak D., Roksandic M., Schillaci M.A.","35321452400;23470776200;6603933072;","Greater sciatic notch as a sex indicator in juveniles",2008,"American Journal of Physical Anthropology","137","3",,"309","315",,43,"10.1002/ajpa.20875",2-s2.0-55849125780
"Cardoso H.F.V., Saunders S.R.","23394620800;7202876055;","Two arch criteria of the ilium for sex determination of immature skeletal remains: A test of their accuracy and an assessment of intra- and inter-observer error",2008,"Forensic Science International","178","1",,"24","29",,38,"10.1016/j.forsciint.2008.01.012",2-s2.0-43049092959
"González P., Bernal V., Barrientos G.","","Estimación del dimorfismo sexual en el esqueleto pélvico y mandibular de individuos subadultos: comparación de técnicas visuales y de morfometría geométrica",2005,"Werken","6",,,"49","61",,3,,2-s2.0-85031280105
"GarcÃ­a-Mancuso R., GonzÃ¡lez P.N.","","Reconocimeitno de rasgos dimÃ³rficos en ilion infantil mediante el uso de morfometrÃ­a geomÃ©trica",2013,"Cs Morfol","15","1",,"1","11",,3,,2-s2.0-84991865916
"Wilson L.A., MacLeod N., Humphrey L.T.","7403521601;57200347364;12544863500;","Morphometric criteria for sexing juvenile human skeletons using the ilium",2008,"Journal of Forensic Sciences","53","2",,"269","278",,40,"10.1111/j.1556-4029.2008.00656.x",2-s2.0-41149113037
"Wilson L.A.B., Cardoso H.F.V., Humphrey L.T.","7403521601;23394620800;12544863500;","On the reliability of a geometric morphometric approach to sex determination: A blind test of six criteria of the juvenile ilium",2011,"Forensic Science International","206","1-3",,"35","42",,30,"10.1016/j.forsciint.2010.06.014",2-s2.0-79952452028
"Wilson L.A.B., Ives R., Cardoso H.F.V., Humphrey L.T.","7403521601;10145089700;23394620800;12544863500;","Shape, size, and maturity trajectories of the human ilium",2015,"American Journal of Physical Anthropology","156","1",,"19","34",,26,"10.1002/ajpa.22625",2-s2.0-84919444135
"Irurita Olivares J., Alemán Aguilera I.","46861089100;57202798507;","Validation of the sex estimation method elaborated by Schutkowski in the Granada Osteological Collection of identified infant and young children: Analysis of the controversy between the different ways of analyzing and interpreting the results",2016,"International Journal of Legal Medicine","130","6",,"1623","1632",,10,"10.1007/s00414-016-1354-z",2-s2.0-84961782295
"Zelditch M., Swiderski D., Sheets H.","6701615282;35493322600;55663863700;","Geometric Morphometrics for Biologists",2012,"Geometric Morphometrics for Biologists",,,,"","",478,326,"10.1016/C2010-0-66209-2",2-s2.0-85013710796
"Alemán I., Irurita J., Valencia A.R., Martínez A., Lõpez-Lázaro S., Viciano J., Botella M.C.","23134325000;46861089100;55445095700;57188667346;46861416800;37089591100;23134271400;","Brief communication: The Granada osteological collection of identified infants and young children",2012,"American Journal of Physical Anthropology","149","4",,"606","610",,28,"10.1002/ajpa.22165",2-s2.0-84869500757
"Rohlf F.J.","",[No title available],2005,"TpsDig, Digitize Landmarks and Outlines",,,,"","",,606,,2-s2.0-18844422334
"Gonzalez P.N., Bernal V., Perez S.I.","55799217100;55930645900;13808174600;","Analysis of sexual dimorphism of craniofacial traits using geometric morphometric techniques",2011,"International Journal of Osteoarchaeology","21","1",,"82","91",,43,"10.1002/oa.1109",2-s2.0-79251470148
"Fleiss J.L.","",[No title available],1981,"Statistical Methods for Rates and Proportions",,,,"","",,18346,,2-s2.0-0003877646
"Fleiss J.L.","",[No title available],1986,"The Design and Analysis of Clinical Experiments",,,,"","",,4418,,2-s2.0-0003532215
"Corp I.","","IBM SPSS Statistics for Windows",2011,"IBM SPSS Statistics for Windows",,,,"","",,179,,2-s2.0-84969325869
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Sheets H.D.","",[No title available],2003,"IMP-Integrated Morphometrics Package",,,,"","",,256,,2-s2.0-0041428764
"Rohlf F.J.","",[No title available],2006,"TpsDig, Version 2.10",,,,"","",,561,,2-s2.0-46749110881
"Rohlf F.J.","",[No title available],2009,"TPSUTIL: Version 1.44",,,,"","",,14,,2-s2.0-79955389993
"Webster M., Sheets H.D.","","A practical introduction to landmark-based geometric morphometrics",2010,"The Paleontological Society Papers","16",,,"163","188",,163,,2-s2.0-79952389558
"Klingenberg C.P.","",[No title available],2008,"MorphoJ. Faculty of Life Sciences",,,,"","",,37,,2-s2.0-67650410406
"Gonzalez P.N., Bernal V., Perez S.I.","55799217100;55930645900;13808174600;","Geometric morphometric approach to sex estimation of human pelvis",2009,"Forensic Science International","189","1-3",,"68","74",,71,"10.1016/j.forsciint.2009.04.012",2-s2.0-67349205835
"Slice D.E.","",[No title available],2005,"Modern Morphometrics in Physical Anthropology",,,,"","",,188,,2-s2.0-8644228122
