Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Zelditch M.L., Swiderski D.L., Sheets H.D., Fink W.L.","",[No title available],2004,"Geometric Morphometrics for Biologists: A Primer",,,,"","",,689,,,,"Zelditch, M.L.; Swiderski, D.L.; Sheets, H.D.; Fink, W.L.",[No abstract available],,,,"Final",,Scopus,2-s2.0-85013705089
"Shepard A.O.","",[No title available],1956,"Ceramics for the Archaeologist",,,,"","",,556,,,,"Shepard, A.O.",[No abstract available],,,,,,Scopus,2-s2.0-0004031453
"Costin C.L.","","Craft specialization: Issues in defining, documenting, and explaining the organization of production",1991,"Archaeological Method and Theory","3",,,"1","56",,534,,,,"Costin, C.L.",[No abstract available],,,,,,Scopus,2-s2.0-0001786936
"Perez S.I., Bernal V., Gonzalez P.N.","13808174600;55930645900;55799217100;","Differences between sliding semi-landmark methods in geometric morphometrics, with an application to human craniofacial and dental variation",2006,"Journal of Anatomy","208","6",,"769","784",,244,"10.1111/j.1469-7580.2006.00576.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744472832&doi=10.1111%2fj.1469-7580.2006.00576.x&partnerID=40&md5=be4b2e614d7d51adf893425f7dca076f","División Antropología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, Paseo del Bosques s/n, La Plata 1900, Argentina","Perez, S.I., División Antropología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, Paseo del Bosques s/n, La Plata 1900, Argentina; Bernal, V., División Antropología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, Paseo del Bosques s/n, La Plata 1900, Argentina; Gonzalez, P.N., División Antropología, Facultad de Ciencias Naturales y Museo, Universidad Nacional de La Plata, Paseo del Bosques s/n, La Plata 1900, Argentina","Over the last decade, geometric morphometric methods have been applied increasingly to the study of human form. When too few landmarks are available, outlines can be digitized as series of discrete points. The individual points must be slid along a tangential direction so as to remove tangential variation, because contours should be homologous from subject to subject whereas their individual points need not. This variation can be removed by minimizing either bending energy (BE) or Procrustes distance (D) with respect to a mean reference form. Because these two criteria make different assumptions, it becomes necessary to study how these differences modify the results obtained. We performed bootstrapped-based Goodall's F-test, Foote's measurement, principal component (PC) and discriminant function analyses on human molars and craniometric data to compare the results obtained by the two criteria. Results show that: (1) F-scores and P-values were similar for both criteria; (2) results of Foote's measurement show that both criteria yield different estimates of within- and between-sample variation; (3) there is low correlation between the first PC axes obtained by D and BE; (4) the percentage of correct classification is similar for BE and D, but the ordination of groups along discriminant scores differs between them. The differences between criteria can alter the results when morphological variation in the sample is small, as in the analysis of modern human populations. © 2006 The Authors Journal compilation. © 2006 Anatomical Society of Great Britain and Ireland.","Dental and facial data; Minimum bending energy; Minimum Procrustes distance","accuracy; anthropometric parameters; article; comparative anatomy; controlled study; correlation analysis; craniofacial morphology; functional assessment; geometry; human; intermethod comparison; molar tooth; priority journal; reference value; scoring system; Adult; Anthropology, Physical; Cephalometry; Dentition; Facial Bones; Humans; Male; Models, Anatomic; Molar",Article,"Final",,Scopus,2-s2.0-33744472832
"Webster M., Sheets H.D.","","A practical introduction to landmark-based geometric morphometrics",2010,"The Paleontological Society Papers","16",,,"163","188",,164,,,,"Webster, M.; Sheets, H.D.",[No abstract available],,,,"Final",,Scopus,2-s2.0-79952389558
"Costin C.L., Hagstrum M.B.","25030166400;14419829100;","Standardization, Labor Investment, Skill, and the Organization of Ceramic Production in Late Prehispanic Highland Peru",1995,"American Antiquity","60","4",,"597","618",,125,"10.2307/282046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057773891&doi=10.2307%2f282046&partnerID=40&md5=768a615b4b8e92225b5463dbb1357138","Department of Anthropology, California State University, Northridge, CA  91330, United States; Department of Anthropology, University of Washington, Seattle, WA  98195, United States","Costin, C.L., Department of Anthropology, California State University, Northridge, CA  91330, United States; Hagstrum, M.B., Department of Anthropology, University of Washington, Seattle, WA  98195, United States","Specialization encompasses many ways to organize craft production, ranging from small, household-based work units to large workshops. Distinctive types of specialization develop in response to various social, economic, and environmental factors, including the demand for crafts, the social relations of producers, and the support base for artisans. These factors in turn influence manufacturing technology. Thus, different types of specialization can be characterized by a technological profile, which reflects relative labor investment, skill, and standardization. An analysis of Prehispanic ceramic technology in the central sierra of Peru demonstrates how these technological profiles can be used to identify the ways ceramic production was organized to provision consumers with utilitarian and luxury pottery. As we demonstrate in our analysis of pottery recovered in the Yanamarca Valley, utilitarian Wanka-style cookwares and storage jars were produced by independent household-based artisans, while imperial Inka-style jars were produced by locally recruited corvee labor working for the state. Copyright © The Society for American Archaeology 1995.",,,Article,"Final",,Scopus,2-s2.0-85057773891
"Robb J.E.","7102860800;","The archaeology of symbols",1998,"Annual Review of Anthropology","27",,,"329","346",,77,"10.1146/annurev.anthro.27.1.329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0011714823&doi=10.1146%2fannurev.anthro.27.1.329&partnerID=40&md5=0ed588c22ff0f318c56e09aa0a078faf","Department of Archaeology, University of Southampton, Southampton SO17 1BJ, United Kingdom","Robb, J.E., Department of Archaeology, University of Southampton, Southampton SO17 1BJ, United Kingdom","Why should archaeologists deal with symbols and how can they do so? This article outlines three major traditions archaeologists have followed in conceptualizing symbols, each with its own preferred topics of study, understanding of power and social relations, and epistemology. These include the processual view of symbols as tokens that represent reality, the structuralist view of symbols as mental girders framing a cultural reality, and the post-modern view of symbols as arbitrary fragments incorporated into phenomenological experience. The primary conclusions are that (a) any serious consideration of ancient society requires us to deal with its symbols; (b) human symbolism is so diverse (it includes cognitive structures; ritual icons; identities such as gender, prestige, and ethnicity; technological knowledge; and political ideologies) that multiple approaches are needed to deal adequately with it; and (c) a major problem in the archaeology of symbols is understanding how varied kinds of symbols relate to each other.","Agency; Knowledge; Prehistory; Semantics; Social theory",,Article,"Final",,Scopus,2-s2.0-0011714823
"Riley C.L.","","The Frontier People: The Greater Southwest in the Protohistoric Period",1987,"The Frontier People: The Greater Southwest in the Protohistoric Period",,,,"","",,72,,,,"Riley, C.L.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0042280137
"Roux V.","25948831300;","Ceramic standardization and intensity of production: Quantifying degrees of specialization",2003,"American Antiquity","68","4",,"768","782",,71,"10.2307/3557072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-28244464346&doi=10.2307%2f3557072&partnerID=40&md5=2681fa476c0c1a1108f84aafddcc8493","Laboratoire de Préhistoire et Technologie, CNRS, 92023 Nanterre cedex, France","Roux, V., Laboratoire de Préhistoire et Technologie, CNRS, 92023 Nanterre cedex, France","The aim of this study is to examine the relationship between metric variability of ceramic vessels of a single type and intensity of production. This relationship is examined on the basis of vessels made by Indian and Spanish potters whose rates of production vary from low to high. Results are compared with Filipino data to embrace different cultures and therefore possibly different emic conceptions of standardization. We conclude that rate of production affects the degree of standardization. However, only in a high-rale production situation do we have motor habits that transcend emic conceptions of standardization. Indeed, factors like size classes, emic conception of size classes, and skill may induce a certain variability despite similar rates of production. Indexing degrees of standardization needs, in other respects, to take into account the cumulative effect of production events that play on the CV (Coefficient of Variation) values. Applied to Mesopotamian data, our results suggest that third millennium ceramic production can be compared to low-rate production observed ethno-graphically. © 2003 by the Society for American Archaeology.",,,Article,"Final",,Scopus,2-s2.0-28244464346
"Buchanan B., O'Brien M.J., Collard M.","11241802300;36128081000;7102608373;","Continent-wide or region-specific? A geometric morphometrics-based assessment of variation in Clovis point shape",2014,"Archaeological and Anthropological Sciences","6","2",,"145","162",,66,"10.1007/s12520-013-0168-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898651207&doi=10.1007%2fs12520-013-0168-x&partnerID=40&md5=22973a659097bde48b5a0541293f79e1","Human Evolutionary Studies Program and Department of Archaeology, Simon Fraser University, 8888 University Drive, Burnaby, BC, V5A 1S6, Canada; Department of Anthropology, University of Missouri, Columbia, MO, United States; Department of Archaeology, University of Aberdeen, St Mary's Building, Elphinstone Road, Aberdeen, Scotland, AB24 3UF, United Kingdom; Department of Anthropology, University of Tulsa, Tulsa, OK, United States","Buchanan, B., Human Evolutionary Studies Program and Department of Archaeology, Simon Fraser University, 8888 University Drive, Burnaby, BC, V5A 1S6, Canada, Department of Anthropology, University of Missouri, Columbia, MO, United States, Department of Anthropology, University of Tulsa, Tulsa, OK, United States; O'Brien, M.J., Department of Anthropology, University of Missouri, Columbia, MO, United States; Collard, M., Human Evolutionary Studies Program and Department of Archaeology, Simon Fraser University, 8888 University Drive, Burnaby, BC, V5A 1S6, Canada, Department of Archaeology, University of Aberdeen, St Mary's Building, Elphinstone Road, Aberdeen, Scotland, AB24 3UF, United Kingdom","Researchers have debated the existence of regional variation in Clovis points for over 60 years. Here, we report an attempt to resolve this argument using a large sample of Clovis points from dated assemblages and a suite of shape analysis methods known as geometric morphometrics. The study tested the two main hypotheses that have been put forward in the debate: the continent-wide adaptation hypothesis, which holds that Clovis points do not vary regionally, and the regional environmental adaptation hypothesis, which holds that there is regional variation as a consequence of Clovis groups adjusting their food-getting toolkits to local conditions. We used discriminant function analysis and a multivariate extension of the t test to assess whether differences in shape exist at two scales. The first set of analyses compared points from the most obvious environmental regions in North America, the East and the West. The second set of analyses investigated differences among points from subregions within the East and West. The analyses revealed significant differences between points from the East and the West and among points from some subregions. Follow-up analyses demonstrated that these differences are not the result of the most common confounding factors, raw material quality and resharpening. As such, the analyses support the regional environmental adaptation hypothesis rather than the continent-wide adaptation hypothesis. We conclude from this that Clovis people modified their points to suit the characteristics of local prey and/or the habitats in which they hunted. © 2013 Springer-Verlag Berlin Heidelberg.","Clovis points; Continent-wide adaptation; Geometric morphometrics; Regional environmental adaptation",,Article,"Final",,Scopus,2-s2.0-84898651207
