Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Asmussen B.","","""There is likewise a nut⋯"" a comparative ethnobotany of aboriginal processing methods and consumption of Australian Bowenia, Cycas, Macrozamia and Lepidozamia species",2011,"Technical Reports of the Australian Museum","23","10",,"147","163",,5,,2-s2.0-84872015634
"BAILEY R.C., HEAD G., JENIKE M., OWEN B., RECHTMAN R., ZECHENTER E.","7402651496;35876844900;7006578935;57213959857;7004354277;7801409713;","Hunting and Gathering in Tropical Rain Forest: Is It Possible?",1989,"American Anthropologist","91","1",,"59","82",,233,"10.1525/aa.1989.91.1.02a00040",2-s2.0-0024534553
"Barker G., Barton H., Bird M., Daly P., Datan I., Dykes A., Farr L., Gilbertson D., Harrisson B., Hunt C., Higham T., Kealhofer L., Krigbaum J., Lewis H., McLaren S., Paz V., Pike A., Piper P., Pyatt B., Rabett R., Reynolds T., Rose J., Rushworth G., Stephens M., Stringer C., Thompson J., Turney C.","7202030377;56275123500;7102578362;7101813771;15847899500;7003338785;35368381800;7004660494;15848196700;7201450822;7003799879;6602327303;6507599027;35574048800;7006430993;15848946300;55566368400;15849018500;8652910100;15849163500;8539962900;16064302000;15849352300;7201574994;7005875885;57198874275;7003984281;","The 'human revolution' in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo)",2007,"Journal of Human Evolution","52","3",,"243","261",,279,"10.1016/j.jhevol.2006.08.011",2-s2.0-33847034067
"Barton H.","56275123500;","The case for rainforest foragers: The starch record at Niah Cave, Sarawak",2005,"Asian Perspectives","44","1",,"56","72",,53,,2-s2.0-24344489048
"Beck W., Balme J.","","Dry rainforests: A productive habitat for Australian hunter-gatherers",2003,"Australian Aboriginal Studies","2003","2",,"4","20",,6,,2-s2.0-83555160642
"Bell F.C., Winter J.W., Pahl L.I., Atherton R.G.","","Distribution, area and tenure of rainforest in northeastern Australia",1987,"Proceedings of the Royal Society of Queensland","98",,,"27","39",,28,,2-s2.0-0001333180
"Bird D.W., Bird R.B., Parker C.H.","7201990432;7201728585;25622835900;","Aboriginal burning regimes and hunting strategies in Australia's Western Desert",2005,"Human Ecology","33","4",,"443","464",,100,"10.1007/s10745-005-5155-0",2-s2.0-24144472576
"Bird M.I., Taylor D., Hunt C.","7102578362;57196007667;7201450822;","Palaeoenvironments of insular Southeast Asia during the Last Glacial Period: A savanna corridor in Sundaland?",2005,"Quaternary Science Reviews","24","20-21",,"2228","2242",,331,"10.1016/j.quascirev.2005.04.004",2-s2.0-24944441725
"Bliege Bird R., Bird D.W., Codding B.F., Parker C.H., Jones J.H.","7201728585;7201990432;16416561900;25622835900;55725769400;","The ""fire stick farming"" hypothesis: Australian Aboriginal foraging strategies, biodiversity, and anthropogenic fire mosaics",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","39",,"14796","14801",,213,"10.1073/pnas.0804757105",2-s2.0-54449087072
"Brand Miller J., James K.W., Maggiore P.M.A.","",[No title available],1993,"Tables of Composition of Australian Aboriginal Foods",,,,"","",,42,,2-s2.0-0004713743
"Cooper W., Cooper W.T.","","Fruits of the Australian Tropical Rainforest",2004,"Fruits of the Australian Tropical Rainforest",,,,"","",,77,,2-s2.0-11144228909
"Cosgrove R.","","A Stylistic and Use-wear Study of the Ooyurka",1984,"A Stylist and Use-wear Study of the Ooyurka",,,,"","",,2,,2-s2.0-4243099267
"Cosgrove R.","","The Illusion of Riches: Scale Resolution and Explanation in Tasmanian Pleistocene Human Behaviour",1995,"The Illusion of Riches: Scale, Resolution and Explanation in Tasmanian Pleistocene Human Behaviour",,,,"","",,27,,2-s2.0-0011152197
"Cosgrove R.","7003898463;","Origin and development of Australian Aboriginal tropical rainforest culture: A reconsideration",1996,"Antiquity","70","270",,"900","912",,25,"10.1017/S0003598X00084155",2-s2.0-0030436325
"Cosgrove R., Allen J.","","Prey choice and hunting strategies in the Late Pleistocene: Evidence from Southwest Tasmania",2001,"Histories of Old Ages: Essays in Honour of Rhys Jones",,,,"397","429",,49,,2-s2.0-0039321893
"Cosgrove R., Raymond E.","7003898463;37096052400;","Jiyer Cave revisited: Preliminary results from northeast Queensland rainforest",2002,"Australian Archaeology","54",,,"29","36",,6,"10.1080/03122417.2002.11681738",2-s2.0-34447093763
"Cosgrove R.","","Coping with noxious nuts",2005,"Nature Australia","28","6",,"47","53",,7,,2-s2.0-33746809997
"Cosgrove R., Field J., Ferrier Å.","7003898463;35239626800;35871344200;","The archaeology of Australia's tropical rainforests",2007,"Palaeogeography, Palaeoclimatology, Palaeoecology","251","1",,"150","173",,50,"10.1016/j.palaeo.2007.02.023",2-s2.0-34447092227
"Coster A.C.F., Field J.H.","7003984165;35239626800;","What starch grain is that? - A geometric morphometric approach todetermining plant species origin",2015,"Journal of Archaeological Science","58",,,"9","25",,17,"10.1016/j.jas.2015.03.014",2-s2.0-84991383823
"David B., Geneste J.-M., Whear R.L., Delannoy J.-J., Katherine M., Gunn R.G., Clarkson C., Plisson H., Lee P., Petchey F., Rowe C., Barker B., Lamb L., Miller W., Hoerlé S., James D., Boche E., Aplin K., McNiven I.J., Richards T., Fairbairn A., Matthews J.","14040134600;6603629634;26634596000;7004533397;54398808400;26648502700;36885327100;8161298500;54398786400;6507784715;16745252900;8135956600;26641212900;54398967500;8950030900;54398635400;38261227900;6701380029;6602370996;48361844400;9633898000;54398963300;","Nawarla gabarnmang, a 45,180±910 cal BP site in jawoyn country, southwest arnhem land plateau",2011,"Australian Archaeology","73",,,"73","77",,33,,2-s2.0-81555227873
"Denham T., Fullagar R., Head L.","6602644857;6602230399;7006298113;","Plant exploitation on Sahul: From colonisation to the emergence of regional specialisation during the Holocene",2009,"Quaternary International","202","1-2",,"29","40",,39,"10.1016/j.quaint.2008.06.018",2-s2.0-67349256104
"Ferrier Å.","","Journeys into the Rainforest: Archaeology of Cultural Change and Continuity on the Evelyn Tableland, North Queensalnd",2015,"Journeys into the Rainforest: Archaeology of Culture Change and Continuity on the Evelyn Tableland, North Queensland",,,,"","",,8,,2-s2.0-85049282278
"Ferrier Å., Cosgrove R.","","Aboriginal exploitation of toxic nuts as a late Holocene subsistence strategy in Australia's tropical rainforests",2012,"Peopled Landscapes. Archaeological and Biogeographic Approaches to Landscapes",,,,"103","120",,10,,2-s2.0-84937392003
"Field J., Cosgrove R., Fullagar R., Lance B.","","Survival of starch residues on grinding stones in private collections: A study of morahs from the tropical rainforests of NE Queensland",2009,"Archaeological Science under A Microscope: Papers in Honour of Tom Loy",,,,"218","228",,2,,2-s2.0-84885669943
"Fullagar R., Field J., Kealhofer L.","","Grinding stones and seeds of change: starch and phytoliths as evidence of plant food processing",2008,"New Approaches to Old Stones: Recent Studies of Ground Stone Artifacts",,,,"159","172",,32,,2-s2.0-48549102276
"Grimm E.C.","","TILIA, TILA.GRAPH, and TGView",1991,"TILIA, TILA.GRAPH, and TGView",,,,"","",,85,,2-s2.0-33748311053
"Haberle S.G.","6701820868;","A 23,000-yr pollen record from Lake Euramoo, Wet Tropics of NE Queensland, Australia",2005,"Quaternary Research","64","3",,"343","356",,96,"10.1016/j.yqres.2005.08.013",2-s2.0-27944448764
"Harris D.R.","","Subsistence strategies across Torres Strait",1977,"Sunda and Sahul: Prehistoric Studies in Southeast Asia, Melanesia and Australia",,,,"421","463",,54,,2-s2.0-0006943817
"Harris D.R.","7403922089;","Aboriginal subsistence in a tropical rain forest environment: Food procurement, Cannibalism, and population regulation in northeastern Australia",2009,"Food and Evolution: Toward a Theory of Human Food Habits",,,,"357","385",,10,,2-s2.0-33645369864
"Headland T.N.","","Why foragers do not become farmers: A historical study of a changing ecosystem and its effect on a Negrito hunter-gatherer group in the Philippines",1986,"Why Foragers Do Not Become Farmers: A Historical Study of a Changing Ecosystem and Its Effect on a Negrito Hunter-Gatherer Group in the Philippines",,,,"","",,24,,2-s2.0-0012408636
"Headland T.N., Reid L.A.","","Hunter-gatherers and their neighbors from prehistory to the present",1989,"Current Anthropology","30","1",,"43","66",,162,,2-s2.0-0002761137
"Hopkins M.S., Ash J., Graham A.W., Head J., Hewett R.K.","7202147096;7102298134;7402187862;7202619383;7004501979;","Charcoal evidence of the spatial extent of the Eucalyptus woodland expansions and rainforest contractions in North Queensland during the Late Pleistocene",1993,"Journal of Biogeography","20","4",,"357","372",,139,"10.2307/2845585",2-s2.0-0027331355
"Hopkins M.S., Head J., Ash J.E., Hewett R.K., Graham A.W.","7202147096;7202619383;7102298134;7004501979;7402187862;","Evidence of a Holocene and continuing recent expansion of lowland rain forest in humid, tropical North Queensland",1996,"Journal of Biogeography","23","6",,"737","745",,80,"10.1111/j.1365-2699.1996.tb00035.x",2-s2.0-0030302212
"Horsfall N.","","Living in rainforest: the prehistoric occupation of North Queensland's humid tropics",1987,"Living in Rainforest: The Prehistoric Occupation of North Queensland's Humid Tropics",,,,"","",,16,,2-s2.0-0037971634
"Horsfall N.","","Holocene occupation of the tropical rainforests of North Queensland",1996,"Archaeology of Northern Australia",,,,"175","190",,9,,2-s2.0-11244262107
"Hunt C.O., Premathilake R.","7201450822;6507993062;","Early Holocene vegetation, human activity and climate from Sarawak, Malaysian Borneo",2012,"Quaternary International","249",,,"105","119",,20,"10.1016/j.quaint.2011.04.027",2-s2.0-84855940700
