Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Collyer M.L.","7404054540;57074630100;","Analysis of character divergence along environmental gradients and other covariates",2007,"Evolution","61","3",,"510","515",,67,"10.1111/j.1558-5646.2007.00063.x",2-s2.0-33846967066
"Adams D.C., Collyer M.L.","7404054540;57074630100;","A general framework for the analysis of phenotypic trajectories in evolutionary studies",2009,"Evolution","63","5",,"1143","1154",,144,"10.1111/j.1558-5646.2009.00649.x",2-s2.0-64749098726
"Adams D.C., Collyer M.L.","7404054540;57074630100;","Permutation tests for phylogenetic comparative analyses of high-dimensional shape data: What you shuffle matters",2015,"Evolution","69","3",,"823","829",,42,"10.1111/evo.12596",2-s2.0-84924855024
"Adams D.C., Otárola-Castillo E.","7404054540;25629989200;","Geomorph: An r package for the collection and analysis of geometric morphometric shape data",2013,"Methods in Ecology and Evolution","4","4",,"393","399",,795,"10.1111/2041-210X.12035",2-s2.0-84875761771
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","A field comes of age: Geometric morphometrics in the 21st century",2013,"Hystrix","24","1",,"","",,304,"10.4404/hystrix-24.1-6283",2-s2.0-84875767161
"Adams D.C., Collyer M.L., Kaliontzopoulou A., Sherratt E.","",[No title available],2017,,,,,"","",,1,,2-s2.0-85054760617
"Anderson M.J., Ter Braak C.J.F.","57203331728;35551536200;","Permutation tests for multi-factorial analysis of variance",2003,"Journal of Statistical Computation and Simulation","73","2",,"85","113",,615,"10.1080/00949650215733",2-s2.0-0037319490
"Arnold III P.J.","","Dimensional standardization and production scale in mesoamerican ceramics",1991,"Latin American Antiquity","2","4",,"363","370",,40,,2-s2.0-0141476935
"Banks L.D., Winters J.","",[No title available],1975,,,,,"","",,1,,2-s2.0-85054719657
"Bastir M., Rosas A.","6603088960;7005126537;","Correlated variation between the lateral basicranium and the face: A geometric morphometric study in different human groups",2006,"Archives of Oral Biology","51","9",,"814","824",,83,"10.1016/j.archoralbio.2006.03.009",2-s2.0-33747187023
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Bookstein F.L., Gunz P., Mittercker P., Prossinger H., Schæfer K., Seidler H.","7004606384;6506472733;6504786305;6701769032;7201525302;7004117563;","Cranial integration in Homo: Singular warps analysis of the midsagittal plane in ontogeny and evolution",2003,"Journal of Human Evolution","44","2",,"167","187",,251,"10.1016/S0047-2484(02)00201-4",2-s2.0-0037307376
"Buchanan B., Collard M.","11241802300;7102608373;","A geometric morphometrics-based assessment of blade shape differences among Paleoindian projectile point types from western North America",2010,"Journal of Archaeological Science","37","2",,"350","359",,71,"10.1016/j.jas.2009.09.047",2-s2.0-70449670300
"Buchanan B., Collard M., Hamilton M.J., O'Brien M.J.","11241802300;7102608373;8578778600;36128081000;","Points and prey: A quantitative test of the hypothesis that prey size influences early Paleoindian projectile point form",2011,"Journal of Archaeological Science","38","4",,"852","864",,47,"10.1016/j.jas.2010.11.007",2-s2.0-79251608170
