Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
[No author name available],[No author id available],[No title available],2012,"R: A Language and Environment for Statistical Computing",,,,"","",,79302,,,,"",[No abstract available],,,,"Final",,Scopus,2-s2.0-84863304598
"Jolliffe I.T.","",[No title available],1986,"Principal Component Analysis",,,,"","",,21256,,,,"Jolliffe, I.T.",[No abstract available],,,,,,Scopus,2-s2.0-0003946510
"Paradis E., Claude J., Strimmer K.","57202408762;7102687004;6603571216;","APE: Analyses of phylogenetics and evolution in R language",2004,"Bioinformatics","20","2",,"289","290",,6322,"10.1093/bioinformatics/btg412","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1042304216&doi=10.1093%2fbioinformatics%2fbtg412&partnerID=40&md5=0d3ebd50278d141d0341013b24020395","Lab. Paleontol. Paleobiol./Phylogen., Institut des Sciences de l'Evolution, Université Montpellier II, F-34095 Montpellier Cédex 05, France; Department of Statistics, University of Munich, Ludwigstrasse 33, D-80539 Munich, Germany","Paradis, E., Lab. Paleontol. Paleobiol./Phylogen., Institut des Sciences de l'Evolution, Université Montpellier II, F-34095 Montpellier Cédex 05, France; Claude, J., Lab. Paleontol. Paleobiol./Phylogen., Institut des Sciences de l'Evolution, Université Montpellier II, F-34095 Montpellier Cédex 05, France; Strimmer, K., Department of Statistics, University of Munich, Ludwigstrasse 33, D-80539 Munich, Germany","Summary: Analysis of Phylogenetics and Evolution (APE) is a package written in the R language for use in molecular evolution and phylogenetics. APE provides both utility functions for reading and writing data and manipulating phylogenetic trees, as well as several advanced methods for phylogenetic and evolutionary analysis (e.g. comparative and population genetic methods). APE takes advantage of the many R functions for statistics and graphics, and also provides a flexible framework for developing and implementing further statistical methods for the analysis of evolutionary processes.",,"analytic method; article; comparative gene mapping; computer analysis; computer graphics; computer language; computer program; human; information processing; molecular evolution; phylogenetic tree; phylogeny; population genetics; priority journal; statistical analysis; Computer Graphics; Evolution; Evolution, Molecular; Gene Expression Profiling; Genetics, Population; Phylogeny; Programming Languages; Software; User-Computer Interface; Alocasia macrorrhizos",Article,"Final",Open Access,Scopus,2-s2.0-1042304216
"Hewitt G.","7102168426;","The genetic legacy of the quaternary ice ages",2000,"Nature","405","6789",,"907","913",,4352,"10.1038/35016000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034702196&doi=10.1038%2f35016000&partnerID=40&md5=271c83c4fc3298536ec8dbf573763888","School of Biological Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom","Hewitt, G., School of Biological Sciences, University of East Anglia, Norwich NR4 7TJ, United Kingdom","Global climate has fluctuated greatly during the past three million years, leading to the recent major ice ages. An inescapable consequence for most living organisms is great changes in their distribution, which are expressed differently in boreal, temperate and tropical zones. Such range changes can be expected to have genetic consequences, and the advent of DNA technology provides most suitable markers to examine these. Several good data sets are now available, which provide tests of expectations, insights into species colonization and unexpected genetic subdivision and mixture of species. The genetic structure of human populations may be viewed in the same context. The present genetic structure of populations, species and communities has been mainly formed by Quaternary ice ages, and genetic, fossil and physical data combined can greatly help our understanding of how organisms were so affected.",,"climate change; environmental change; genetics; Quaternary; evolution; fossil; geography; global climate; population genetics; priority journal; review; species differentiation; Animals; Cold Climate; DNA; Evolution; Evolution, Molecular; Genetic Markers; Humans; Ice; Paleontology; Species Specificity; Variation (Genetics)",Review,"Final",,Scopus,2-s2.0-0034702196
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3980,,,,"Bookstein, F.L.",[No abstract available],,,,,,Scopus,2-s2.0-0003597817
"Rohlf F.J., Slice D.","7003281107;6603334019;","Extensions of the procrustes method for the optimal superimposition of landmarks",1990,"Systematic Zoology","39","1",,"40","59",,2394,"10.2307/2992207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860428591&doi=10.2307%2f2992207&partnerID=40&md5=74ce7a85fe27c8da218b0b8e0fbb6d49","Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Rohlf, F.J., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States; Slice, D., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Superimposition methods for comparing configurations of landmarks in two or more specimens are reviewed. These methods show differences in shape among specimens as residuals after rotation, translation, and scaling them so that they align as well as possible. A new method is presented that generalizes Siegel and Benson's (1982) resistant-fit theta-rho analysis so that more than two objects can be compared at the same time. Both least-squares and resistant-fit approaches are generalized to allow for affine transformations (uniform shape change). The methods are compared, using artificial data and data on 18 landmarks on the wings of 127 species of North American mosquitoes. Graphical techniques are also presented to help summarize the patterns of differences in shape among the objects being compared. © 1990 Society of Systematic Zoology.",,,Article,"Final",,Scopus,2-s2.0-84860428591
"Taberlet P., Fumagalli L., Wust-Saucy A.-G., Cosson J.-F.","7005159471;57190047439;6504487978;7005908632;","Comparative phylogeography and postglacial colonization routes in Europe",1998,"Molecular Ecology","7","4",,"453","464",,2158,"10.1046/j.1365-294x.1998.00289.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032055176&doi=10.1046%2fj.1365-294x.1998.00289.x&partnerID=40&md5=aefc07b1d3683b063eab71094a8229f2","Lab. Biol. Populations d'Altitude, CNRS UMR 5553, Université Joseph Fourier, BP 53, F-38041 Grenoble Cedex 9, France; Department of Zoology, University of Queensland, Brisbane, QLD 4072, Australia; Inst. de Zool. et d'Ecologie Animale, Université de Lausanne, Bâtiment de Biologie, CH-1015 Lausanne, Switzerland; Lab. Génome et Populations, CNRS UPR 9060, Université de Montpellier II, Pl. Eugène Bataillon, C.C.63, F-34095 Montpellier Cedex 5, France","Taberlet, P., Lab. Biol. Populations d'Altitude, CNRS UMR 5553, Université Joseph Fourier, BP 53, F-38041 Grenoble Cedex 9, France; Fumagalli, L., Department of Zoology, University of Queensland, Brisbane, QLD 4072, Australia; Wust-Saucy, A.-G., Inst. de Zool. et d'Ecologie Animale, Université de Lausanne, Bâtiment de Biologie, CH-1015 Lausanne, Switzerland; Cosson, J.-F., Lab. Génome et Populations, CNRS UPR 9060, Université de Montpellier II, Pl. Eugène Bataillon, C.C.63, F-34095 Montpellier Cedex 5, France","The Quaternary cold periods in Europe are thought to have heavily influenced the amount and distribution of intraspecific genetic variation in both animals and plants. The phylogeographies of 10 taxa, including mammals (Ursus arctos, Sorex spp., Crocidura suaveolens, Arvicola spp.), amphibians (Triturus spp.), arthropods (Chorthippus parallelus), and plants (Abies alba, Picea abies, Fagus sylvatica, Quercus spp.), were analysed to elucidate general trends across Europe. Only a small degree of congruence was found amongst the phylogeographies of the 10 taxa, but the likely postglacial colonization routes exhibit some similarities. A Brooks parsimony analysis produced an unrooted area phylogram, showing that: (i) the northern regions were colonized generally from the Iberic and Balkanic refugia; and (ii) the Italian lineages were often isolated due to the presence of the Alpine barrier. The comparison of colonization routes highlighted four main suture-zones where lineages from the different refugia meet. Some of the intraspecific genetic distances among lineages indicated a prequaternary divergence that cannot be connected to any particular cold period, but are probably related mainly to the date of arrival of each taxon in the European continent. As a consequence, molecular genetics so far appears to be of limited use in dating Quaternary events.","Chloroplast DNA; Glaciation; Mitochondrial DNA; Quaternary; Refugium; Suture-zone","chloroplast DNA; mitochondrial DNA; animal; article; Arvicolinae; bear; comparative study; Europe; genetic variability; genetics; geography; grasshopper; phylogeny; salamander; shrew; tree; Animals; Arvicolinae; DNA, Chloroplast; DNA, Mitochondrial; Europe; Geography; Grasshoppers; Phylogeny; Salamandridae; Shrews; Trees; Ursidae; Variation (Genetics)",Article,"Final",,Scopus,2-s2.0-0032055176
"Van Valen L.","","A new evolutionary law",1973,"Evol. Theory","1",,,"1","30",,2049,,,,"Van Valen, L.",[No abstract available],,,,,,Scopus,2-s2.0-0002027029
"Krzanowski W.J.","",[No title available],1988,"Principles of Multivariate Analysis",,,,"","",,1816,,,,"Krzanowski, W.J.",[No abstract available],,,,,,Scopus,2-s2.0-0003900252
"Klingenberg C.P.","7004588456;","MorphoJ: An integrated software package for geometric morphometrics",2011,"Molecular Ecology Resources","11","2",,"353","357",,1769,"10.1111/j.1755-0998.2010.02924.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650839801&doi=10.1111%2fj.1755-0998.2010.02924.x&partnerID=40&md5=d30b5ebcfc053aa3854553146529e97f","Faculty of Life Sciences, University of Manchester, Michael Smith Building, Manchester M13 9PT, United Kingdom","Klingenberg, C.P., Faculty of Life Sciences, University of Manchester, Michael Smith Building, Manchester M13 9PT, United Kingdom","Increasingly, data on shape are analysed in combination with molecular genetic or ecological information, so that tools for geometric morphometric analysis are required. Morphometric studies most often use the arrangements of morphological landmarks as the data source and extract shape information from them by Procrustes superimposition. The MorphoJ software combines this approach with a wide range of methods for shape analysis in different biological contexts. The program offers an integrated and user-friendly environment for standard multivariate analyses such as principal components, discriminant analysis and multivariate regression as well as specialized applications including phylogenetics, quantitative genetics and analyses of modularity in shape data. MorphoJ is written in Java and versions for the Windows, Macintosh and Unix/Linux platforms are freely available from © 2010 Blackwell Publishing Ltd.","Geometric morphometrics; Multivariate statistics; Phylogeny; Procrustes superimposition; Quantitative genetics; Shape","article; computer interface; computer program; genetic procedures; instrumentation; multivariate analysis; phylogeny; Genetic Techniques; Multivariate Analysis; Phylogeny; Software; User-Computer Interface",Article,"Final",,Scopus,2-s2.0-78650839801
