Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Bagwell E.A.","","Domestic Architectural Production in Northwest Mexico",2006,"Unpublished PhD Dissertation.",,,,"","",,8,,2-s2.0-84886022991
"BRAND D.D.","57204878784;","THE DISTRIBUTION OF POTTERY TYPES IN NORTHWEST MEXICO",1935,"American Anthropologist","37","2",,"287","305",,18,"10.1525/aa.1935.37.2.02a00100",2-s2.0-0000337697
"Buchanan B., O'Brien M.J., Collard M.","11241802300;36128081000;7102608373;","Continent-wide or region-specific? A geometric morphometrics-based assessment of variation in Clovis point shape",2014,"Archaeological and Anthropological Sciences","6","2",,"145","162",,66,"10.1007/s12520-013-0168-x",2-s2.0-84898651207
"Carpenter J.P.","","The Animas Phase and Paquimé: Regional Differentiation and Integration at Joyce Well",2002,"The Joyce Well Site: On the Frontier of the Casas Grandes World",,,,"149","166",,8,,2-s2.0-62449315719
"Costin C.L.","","Craft specialization: Issues in defining, documenting, and explaining the organization of production",1991,"Archaeological Method and Theory","3",,,"1","56",,534,,2-s2.0-0001786936
"Costin C.L.","","Craft specialization",2015,"The International Encyclopedia of Human Sexuality",,,,"1","5",,7,,2-s2.0-85040756366
"Costin C.L., Hagstrum M.B.","25030166400;14419829100;","Standardization, Labor Investment, Skill, and the Organization of Ceramic Production in Late Prehispanic Highland Peru",1995,"American Antiquity","60","4",,"597","618",,125,"10.2307/282046",2-s2.0-85057773891
"Crown P.L.","","The production of Salado polychromes in the American Southwest",1995,"Ceramic Production in the American Southwest",,,,"142","166",,19,,2-s2.0-0007975448
"Crown P.L.","6701421066;","Life histories of pots and potters: Situating the individual in archaeology",2007,"American Antiquity","72","4",,"677","690",,56,"10.2307/25470440",2-s2.0-36749007984
"Antillon C., Rafael R.D.L., Maxwell T.D., Van Pool T.L., Harmon M.J., Van Pool C.S., Hyndman D.A., Brandwein S.S.","","Galeana, Villa Ahumada, and Casa Chica: Diverse sites in the Casas Grandes region",2004,"Surveying the Archaeology of Northwest Mexico",,,,"149","176",,14,,2-s2.0-84879307889
