Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Antón S.C.","","Neandertals and the anterior dental loading hypothesis: A biomechanical evaluation of bite force production",1990,"Kroeber Anthropol. Soc. Papers","71-72",,,"67","76",,24,,2-s2.0-0042869370
"Attard M.R.G., Parr W.C.H., Wilson L.A.B., Archer M., Hand S.J., Rogers T.L., Wroe S.","54413781300;36697025000;7403521601;7102488403;26643241000;7202088187;35726136500;","Virtual reconstruction and prey size preference in the mid cenozoic thylacinid, Nimbacinus dicksoni (Thylacinidae, Marsupialia)",2014,"PLoS ONE","9","4", e93088,"","",,17,"10.1371/journal.pone.0093088",2-s2.0-84899540128
"Bates K.T., Falkingham P.L.","23491311700;25228566600;","Estimating maximum bite performance in Tyrannosaurus rex using multi-body dynamics",2012,"Biology Letters","8","4",,"660","664",,51,"10.1098/rsbl.2012.0056",2-s2.0-84862498962
"Bookstein F.L.","","The measurement of biological shape and shape change",1978,"The Measurement of Biological Shape and Shape Change",,,,"","",,210,,2-s2.0-0003521971
"Braun S., Bantleon H.P., Hnat W.P., Freudenthaler J.W., Marcotte M.R., Johnson B.E.","7201804616;7003303391;6603029400;6603638254;7006342122;8063692800;","A study of bite force, part 1: Relationship to various physical characteristics.",1995,"The Angle orthodontist","65","5",,"367","372",,125,,2-s2.0-0029437157
"Bright J.A., Gröning F.","37032855300;6504498397;","Strain accommodation in the zygomatic arch of the pig: A validation study using digital speckle pattern interferometry and finite element analysis",2011,"Journal of Morphology","272","11",,"1388","1398",,23,"10.1002/jmor.10991",2-s2.0-80054030615
"Buchanan B., Collard M.","11241802300;7102608373;","A geometric morphometrics-based assessment of blade shape differences among Paleoindian projectile point types from western North America",2010,"Journal of Archaeological Science","37","2",,"350","359",,71,"10.1016/j.jas.2009.09.047",2-s2.0-70449670300
"Buchanan B., Collard M., Hamilton M.J., O'Brien M.J.","11241802300;7102608373;8578778600;36128081000;","Points and prey: A quantitative test of the hypothesis that prey size influences early Paleoindian projectile point form",2011,"Journal of Archaeological Science","38","4",,"852","864",,47,"10.1016/j.jas.2010.11.007",2-s2.0-79251608170
"Cox P.G., Fagan M.J., Rayfield E.J., Jeffery N.","36338846600;34973989700;7003569471;7003551859;","Finite element modelling of squirrel, guinea pig and rat skulls: Using geometric morphometrics to assess sensitivity",2011,"Journal of Anatomy","219","6",,"696","709",,56,"10.1111/j.1469-7580.2011.01436.x",2-s2.0-81255144654
"Cox P.G., Rayfield E.J., Fagan M.J., Herrel A., Pataky T.C., Jeffery N.","36338846600;7003569471;34973989700;7004374986;6602473491;7003551859;","Functional evolution of the feeding system in rodents",2012,"PLoS ONE","7","4", e36299,"","",,89,"10.1371/journal.pone.0036299",2-s2.0-84860464120
"Cox P.G., Rinderknecht A., Blanco R.E.","36338846600;6602523754;7102430648;","Predicting bite force and cranial biomechanics in the largest fossil rodent using finite element analysis",2015,"Journal of Anatomy","226","3",,"215","223",,15,"10.1111/joa.12282",2-s2.0-84923083357
"Cucchi T., Hulme-Beaman A., Yuan J., Dobney K.","6506822509;36627224600;56988201600;6602595568;","Early Neolithic pig domestication at Jiahu, Henan Province, China: Clues from molar shape analyses using geometric morphometric approaches",2011,"Journal of Archaeological Science","38","1",,"11","22",,79,"10.1016/j.jas.2010.07.024",2-s2.0-78049286754
"Curtis N., Kupczik K., O'Higgins P., Moazen M., Fagan M.","7102229099;15757528400;7004722122;24173602100;34973989700;","Predicting skull loading: Applying multibody dynamics analysis to a macaque skull",2008,"Anatomical Record","291","5",,"491","501",,61,"10.1002/ar.20689",2-s2.0-43149107457
"Degrange F.J., Tambussi C.P., Moreno K., Witmer L.M., Wroe S.","14035163200;6508322766;35606959800;6601970331;35726136500;","Mechanical analysis of feeding behavior in the extinct "" Terror Bird "" Andalgalornis steulleti(Gruiformes: phorusrhacidae)",2010,"PLoS ONE","5","8", e11856,"","",,48,"10.1371/journal.pone.0011856",2-s2.0-77957860814
"Demes B.","6701534835;","Another look at an old face: biomechanics of the neandertal facial skeleton reconsidered",1987,"Journal of Human Evolution","16","3",,"297","303",,52,"10.1016/0047-2484(87)90005-4",2-s2.0-0000631223
"Demes B., Creel N.","6701534835;6602808639;","Bite force, diet, and cranial morphology of fossil hominids",1988,"Journal of Human Evolution","17","7",,"657","670",,143,"10.1016/0047-2484(88)90023-1",2-s2.0-38249027294
"Dryden I.L., Mardia K.V.","",[No title available],1998,"Statistical Shape Analysis",,,,"","",,2639,,2-s2.0-0003489720
"Endo B.","","Distribution of stress and strain produced in the human facial skeleton by the masticatory force",1965,"J. Anthropol. Soc. Nippon","73","4",,"123","136",,37,,2-s2.0-0041179355
"Endo B.","","Experimental Studies on the Mechanical Significance of the Form of the Human Facial Skeleton",1966,"Experimental Studies on the Mechanical Significance of the Form of the Human Facial Skeleton",,,,"","",,2,,2-s2.0-84879353632
"Eng C.M., Lieberman D.E., Zink K.D., Peters M.A.","22233580600;7202460412;36447274700;56008497200;","Bite force and occlusal stress production in hominin evolution",2013,"American Journal of Physical Anthropology","151","4",,"544","557",,36,"10.1002/ajpa.22296",2-s2.0-84880550247
"Evin A., Cucchi T., Cardini A., Strand Vidarsdottir U., Larson G., Dobney K.","23977570900;6506822509;21933368100;55349385000;8280762100;6602595568;","The long and winding road: Identifying pig domestication through molar size and shape",2013,"Journal of Archaeological Science","40","1",,"735","743",,87,"10.1016/j.jas.2012.08.005",2-s2.0-84867907430
"Fitton L., Groening F., Cobb S., Fagan M., O'Higgins P.","","Biomechanical significance of morphological variation between gracile Australopithecus africanus (Sts5) and robust Australopithecus boisei (OH5)",2009,"J Vertebr Palaeontol","29",,,"","",,2,,2-s2.0-78650129791
"Fitton L.C., Prôa M., Rowland C., Toro-ibacache V., O'higgins P.","36738982500;55340024500;56459729400;56341900600;7004722122;","The Impact of Simplifications on the Performance of a Finite Element Model of a Macaca fascicularis Cranium",2015,"Anatomical Record","298","1",,"107","121",,30,"10.1002/ar.23075",2-s2.0-84919740292
"Fitton L.C., Shi J.F., Fagan M.J., O'Higgins P.","36738982500;35485431800;34973989700;7004722122;","Masticatory loadings and cranial deformation in Macaca fascicularis: A finite element analysis sensitivity study",2012,"Journal of Anatomy","221","1",,"55","68",,33,"10.1111/j.1469-7580.2012.01516.x",2-s2.0-84862336108
"Gans C., de Vree F.","7005932611;57192934947;","Functional bases of fiber length and angulation in muscle",1987,"Journal of Morphology","192","1",,"63","85",,152,"10.1002/jmor.1051920106",2-s2.0-0023243401
