Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1199,"10.1080/11250000409356545",2-s2.0-1242321708
"Anderson J.Y., Trinkaus E.","7406784741;7005369128;","Patterns of sexual, bilateral and interpopulational variation in human femoral neck-shaft angles",1998,"Journal of Anatomy","192","2",,"279","285",,66,"10.1017/S002187829700321X",2-s2.0-0031744656
"Bar-Yosef O.","57204304503;","Eat what is there: Hunting and gathering in the world of Neanderthals and their neighbours",2004,"International Journal of Osteoarchaeology","14","3-4",,"333","342",,40,"10.1002/oa.765",2-s2.0-14844356103
"Berger T.D., Trinkaus E.","24602058400;7005369128;","Patterns of Trauma among the Neandertals",1995,"Journal of Archaeological Science","22","6",,"841","852",,167,"10.1016/0305-4403(95)90013-6",2-s2.0-0001568077
"Bertram J.E.A., Biewener A.A.","7102198617;7005394819;","Bone curvature: Sacrificing strength for load predictability?",1988,"Journal of Theoretical Biology","131","1",,"75","92",,168,"10.1016/S0022-5193(88)80122-X",2-s2.0-0023927889
"Bocherens H., Billiou D., Mariotti A., Toussaint M., Patou-Mathis M., Bonjean D., Otte M.","7006654386;6602231214;7102370668;7006246177;55954034300;6507801712;7005830539;","New isotopic evidence for dietary habits of Neandertals from Belgium",2001,"Journal of human evolution","40","6",,"497","505",,93,"10.1006/jhev.2000.0452",2-s2.0-0035377552
"Bocherens H., Drucker D.G., Billiou D., Patou-Mathis M., Vandermeersch B.","7006654386;7202919808;6602231214;55954034300;6603721410;","Isotopic evidence for diet and subsistence pattern of the Saint-Césaire I Neanderthal: Review and use of a multi-source mixing model",2005,"Journal of Human Evolution","49","1",,"71","87",,165,"10.1016/j.jhevol.2005.03.003",2-s2.0-21244459915
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Boule M.","","L'homme fossile de la Chapelle-aux-Saints (Corrèze)",1908,"L'Anthropologie","19",,,"519","525",,13,,2-s2.0-0346161500
"Carlson K.J., Grine F.E., Pearson O.M.","7202926864;35431800400;7006231212;","Robusticity and sexual dimorphism in the postcranium of modern hunter-gatherers from Australia",2007,"American Journal of Physical Anthropology","134","1",,"9","23",,59,"10.1002/ajpa.20617",2-s2.0-34547876184
