Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Aramendi J., Maté-González M.A., Yravedra J., Ortega M.C., Arriaza M.C., González-Aguilera D., Baquedano E., Domínguez-Rodrigo M.","55827562600;56780291300;56962776200;26039376000;56786056800;24477009700;36237883200;6603679662;","Discerning carnivore agency through the three-dimensional study of tooth pits: Revisiting crocodile feeding behaviour at FLK- Zinj and FLK NN3 (Olduvai Gorge, Tanzania)",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"93","102",,30,"10.1016/j.palaeo.2017.05.021",2-s2.0-85019375211
"Archer W., Braun D.R.","35085743300;23972180300;","Investigating the Signature of Aquatic Resource Use within Pleistocene Hominin Dietary Adaptations",2013,"PLoS ONE","8","8", e69899,"","",,21,"10.1371/journal.pone.0069899",2-s2.0-84882617036
"Arriaza M.C., Yravedra J., Domínguez-Rodrigo M., Mate-González M.Á., García Vargas E., Palomeque-González J.F., Aramendi J., González-Aguilera D., Baquedano E.","56786056800;56962776200;6603679662;56780291300;57192955709;56780262200;55827562600;24477009700;36237883200;","On applications of micro-photogrammetry and geometric morphometrics to studies of tooth mark morphology: The modern Olduvai Carnivore Site (Tanzania)",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology","488",,,"103","112",,32,"10.1016/j.palaeo.2017.01.036",2-s2.0-85013104677
"Bartelink E.J., Wiersema J.M., Demaree R.S.","7801392653;6603839581;7004167241;","Quantitative analysis of sharp-force trauma: An application of scanning electron microscopy in forensic anthropology",2001,"Journal of Forensic Sciences","46","6",,"1288","1293",,66,,2-s2.0-0034748154
"Behrensmeyer A.K., Gordon K.D., Yanagi G.T.","","Nonhuman bone modification in Miocene fossils from Pakistan",1989,"Bone Modification",,,,"99","120",,57,,2-s2.0-0012767244
"Behrensmeyer A.K., Gordon K.D., Yanagi G.T.","6701561561;7202357942;6506234638;","Trampling as a cause of bone surface damage and pseudo-cutmarks",1986,"Nature","319","6056",,"768","771",,297,"10.1038/319768a0",2-s2.0-0022473304
"Bello S.M.","10139236300;","New Results from the Examination of Cut-Marks Using Three-Dimensional Imaging",2011,"Developments in Quaternary Science","14","C",,"249","262",,32,"10.1016/B978-0-444-53597-9.00013-3",2-s2.0-78049463323
"Bello S.M., De Groote I., Delbarre G.","10139236300;35791611100;55609071600;","Application of 3-dimensional microscopy and micro-CT scanning to the analysis of Magdalenian portable art on bone and antler",2013,"Journal of Archaeological Science","40","5",,"2464","2476",,46,"10.1016/j.jas.2012.12.016",2-s2.0-84874404546
"Bello S.M., Parfitt S.A., Stringer C.","10139236300;6602684782;7005875885;","Quantitative micromorphological analyses of cut marks produced by ancient and modern handaxes",2009,"Journal of Archaeological Science","36","9",,"1869","1880",,124,"10.1016/j.jas.2009.04.014",2-s2.0-67649580782
"Bello S.M., Soligo C.","10139236300;55853593700;","A new method for the quantitative analysis of cutmark micromorphology",2008,"Journal of Archaeological Science","35","6",,"1542","1552",,133,"10.1016/j.jas.2007.10.018",2-s2.0-41949102484
"Binford L.R.","",[No title available],1981,"Bones: Ancient Men and Modern Myths",,,,"","",,1762,,2-s2.0-0003747768
"Bonney H.","56016996900;","An investigation of the use of discriminant analysis for the classification of blade edge type from cut marks made by metal and bamboo blades",2014,"American Journal of Physical Anthropology","154","4",,"575","584",,21,"10.1002/ajpa.22558",2-s2.0-84904042270
"Bookstein F.L.","7004606384;","Principal Warps: Thin-Plate Splines and the Decomposition of Deformations",1989,"IEEE Transactions on Pattern Analysis and Machine Intelligence","11","6",,"567","585",,1254,"10.1109/34.24792",2-s2.0-79957563017
"Boschin F., Crezzini J.","52263086000;20435708700;","Morphometrical Analysis on Cut Marks Using a 3D Digital Microscope",2012,"International Journal of Osteoarchaeology","22","5",,"549","562",,54,"10.1002/oa.1272",2-s2.0-84867331436
"Capaldo S.D.","6602666562;","Simulating the formation of dual-patterned archaeofaunal assemblages with experimental control samples",1998,"Journal of Archaeological Science","25","4",,"311","330",,78,"10.1006/jasc.1997.0238",2-s2.0-0031869681
"Chartier S., Allarie J.F.","","Power estimation in multivariate analysis of variance",2007,"Tutorials in Quantitatives Methods for Psychology","3","2",,"70","78",,2,,2-s2.0-85049429694
"Choi K., Driwantoro D.","14824760700;11641211500;","Shell tool use by early members of Homo erectus in Sangiran, central Java, Indonesia: cut mark evidence",2007,"Journal of Archaeological Science","34","1",,"48","58",,73,"10.1016/j.jas.2006.03.013",2-s2.0-33749342977
"Cohen J.","",[No title available],1988,"Statistical Power Analysis for the Behavioral Sciences",,,,"","",,90699,,2-s2.0-0003577917
"Courtenay L.A., Yravedra J., Mate-González M.Á., Aramendi J., González-Aguilera D.","57200549280;56962776200;56780291300;55827562600;24477009700;","3D analysis of cut marks using a new geometric morphometric methodological approach",2019,"Archaeological and Anthropological Sciences","11","2",,"651","665",,19,"10.1007/s12520-017-0554-x",2-s2.0-85041580684
"Crezzini J., Boschin F., Boscato P., Wierer U.","20435708700;52263086000;20435651600;55224763600;","Wild cats and cut marks: Exploitation of Felis silvestris in the Mesolithic of Galgenbühel/Dos de la Forca (South Tyrol, Italy)",2014,"Quaternary International","330","1",,"52","60",,35,"10.1016/j.quaint.2013.12.056",2-s2.0-84898796061
"de Juana S., Galán A.B., Domínguez-Rodrigo M.","11839691900;25723149700;6603679662;","Taphonomic identification of cut marks made with lithic handaxes: An experimental study",2010,"Journal of Archaeological Science","37","8",,"1841","1850",,75,"10.1016/j.jas.2010.02.002",2-s2.0-77953959327
"Domínguez-Rodrigo M.","6603679662;","Meat-eating by early hominids at the FLK 22 Zinjanthropus site, Olduvai Gorge (Tanzania): An experimental approach using cut-mark data",1997,"Journal of Human Evolution","33","6",,"669","690",,197,"10.1006/jhev.1997.0161",2-s2.0-0031448606
"Domínguez-Rodrigo M.","6603679662;","Hunting and scavenging by early humans: The state of the debate",2002,"Journal of World Prehistory","16","1",,"1","54",,158,"10.1023/A:1014507129795",2-s2.0-0036121914
"Domínguez-Rodrigo M., Barba R.","","A study of cut marks on small-sized carcasses and its application to the study of cut-marked bones from small mammals at the FLK Zinj site",2005,"Journal of Taphonomy","3","3",,"121","134",,43,,2-s2.0-34547107673
"Domínguez-Rodrigo M., de Juana S., Galán A.B., Rodríguez M.","6603679662;11839691900;25723149700;57197402162;","A new protocol to differentiate trampling marks from butchery cut marks",2009,"Journal of Archaeological Science","36","12",,"2643","2654",,255,"10.1016/j.jas.2009.07.017",2-s2.0-70349783751
"Domínguez-Rodrigo M., Yravedra J.","6603679662;56962776200;","Why are cut mark frequencies in archaeofaunal assemblages so variable? A multivariate analysis",2009,"Journal of Archaeological Science","36","3",,"884","894",,56,"10.1016/j.jas.2008.11.007",2-s2.0-58149295946
"Dryden I.L., Mardia K.V.","",[No title available],1998,"Statistical Shape Analysis",,,,"","",,2639,,2-s2.0-0003489720
"During E.M., Nilsson L.","6507769843;57192035010;","Mechanical surface analysis of bone: A case study of cut marks and enamel hypoplasia on a neolithic cranium from Sweden",1991,"American Journal of Physical Anthropology","84","2",,"113","125",,27,"10.1002/ajpa.1330840202",2-s2.0-0026035137
"Efron B., Stein C.","","The jackknife estimate of variance",1981,"Ann. Statist.","9","3",,"586","596",,616,,2-s2.0-0001368656
"Faul F., Erdfelder E., Fau—Lang A.-G., Ag L., Fau—Buchner A., Buchner A.","",[No title available],0000,"G*Power 3: A Flexible Statistical Power Analysis Program for The Social, Behavioral, and Biomedical Sciences",,,,"","",,2,,2-s2.0-85049454647
"Fiorillo A.R.","","An introduction to the identification of trample marks",1984,"Current Research in the Pleistocene","1",,,"47","48",,44,,2-s2.0-0002379036
"Fisher Jr. J.W.","14419752700;","Bone surface modifications in zooarchaeology",1995,"Journal of Archaeological Method and Theory","2","1",,"7","68",,336,"10.1007/BF02228434",2-s2.0-6344236106
"Friedrich S., Konietschke F., Pauly M.","","Analysis of Multivariate Data and Repeated Measures Designs with the R Package MANOVA",2018,"Analysis of multivariate data and repeated measures designs with the R package MANOVARM",,,,"","",,4,,2-s2.0-85049455402
"Fritz C.","16175041100;","Towards the reconstruction of Magdalenian artistic techniques: The contribution of microscopic analysis of mobiliary art",1999,"Cambridge Archaeological Journal","9","2",,"189","208",,20,,2-s2.0-61349132860
"Galán A.B., Domínguez-Rodrigo M.","25723149700;6603679662;","An Experimental Study of the Anatomical Distribution of Cut Marks Created by Filleting and Disarticulation on Long Bone Ends",2013,"Archaeometry","55","6",,"1132","1149",,26,"10.1111/j.1475-4754.2012.00730.x",2-s2.0-84887825525
"Gifford-Gonzalez D.","","Ethnographic analogues for interpreting modified bones: Some cases from East Africa",1989,"Bone Modification",,,,"179","246",,125,,2-s2.0-0002379227
"Gilbert W.H., Richards G.D.","7102866932;7201583583;","Digital imaging of bone and tooth",2000,"Anatomical Record","261","6",,"237","246",,30,"10.1002/1097-0185(20001215)261:6<237::AID-AR1006>3.0.CO;2-N",2-s2.0-0034671408
"Greenfield H.J.","7005963340;","The origins of metallurgy: Distinguishing stone from metal cut-marks on bones from archaeological sites",1999,"Journal of Archaeological Science","26","7",,"797","808",,119,"10.1006/jasc.1998.0348",2-s2.0-0033405768
"Greenfield H.J.","7005963340;","Slicing cut marks on animal bones: Diagnostics for identifying stone tool type and raw material",2006,"Journal of Field Archaeology","31","2",,"147","163",,56,"10.1179/009346906791071972",2-s2.0-40849125229
"Kaiser T.M., Katterwe H.","7102376278;6602581555;","The application of 3D-microprofilometry as a tool in the surface diagnosis of fossil and sub-fossil vertebrate hard tissue. An example from the Pliocene Upper Laetolil Beds, Tanzania",2001,"International Journal of Osteoarchaeology","11","5",,"350","356",,33,"10.1002/oa.573",2-s2.0-0040079921
"Klingenberg C.P.","7004588456;","MorphoJ: An integrated software package for geometric morphometrics",2011,"Molecular Ecology Resources","11","2",,"353","357",,1766,"10.1111/j.1755-0998.2010.02924.x",2-s2.0-78650839801
"Korkmaz S., Goksuluk D., Zararsiz G.","56385234400;56386076800;55257618200;","MVN: An R package for assessing multivariate normality",2014,"R Journal","6","2",,"151","162",,242,,2-s2.0-84921798060
"Lartet M.E.","49661531900;","On the coexistence of man with certain extrnct quadrupeds, proved by fossil bones, from various Pleistocene deposits, bearing incisions made by sharp instruments",1860,"Quarterly Journal of the Geological Society of London","16","1-2",,"471","479",,17,"10.1144/GSL.JGS.1860.016.01-02.63",2-s2.0-0000309611
"Lartet E., Christy H.","","Reliquiæ Aquitaniæ; Being Contributions to the Archæology and Palæontology of PéRigord and the Adjointing Provinces of Southern France",1875,"Reliquiae Aquitanicae, Being Contributions to the Archaeology and Palaeontology of Périgord and the Adjoining Provinces of Southern France",,,,"","",,64,,2-s2.0-31144471294
"Lê S., Josse J., Husson F.","22955922300;24461842500;6603780918;","FactoMineR: An R package for multivariate analysis",2008,"Journal of Statistical Software","25","1",,"1","18",,2003,"10.18637/jss.v025.i01",2-s2.0-46749110034
"Lewis J.E.","55483984700;","Identifying sword marks on bone: criteria for distinguishing between cut marks made by different classes of bladed weapons",2008,"Journal of Archaeological Science","35","7",,"2001","2008",,79,"10.1016/j.jas.2008.01.016",2-s2.0-43049172252
"Lupo K.D.","7801502960;","Butchering marks and carcass acquisition strategies: Distinguishing hunting from scavenging in archaeological contexts",1994,"Journal of Archaeological Science","21","6",,"827","837",,52,"10.1006/jasc.1994.1080",2-s2.0-0001925630
