Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adler D.S., Wilkinson K.N., Blockley S., Mark D.F., Pinhasi R., Schmidt-Magee B.A., Nahapetyan S., Mallol C., Berna F., Glauberman P.J., Raczynski-Henk Y., Wales N., Frahm E., Jöris O., MacLeod A., Smith V.C., Cullen V.L., Gasparian B.","14526924600;8772904600;8732868300;8839623400;10041187600;56152212600;25227959800;22938280200;7801410989;56374280000;56372959100;55194346300;36662137400;6507385537;35170620600;7401798754;38761137300;25227655700;","Early Levallois technology and the Lower to Middle Paleolithic transition in the Southern Caucasus",2014,"Science","345","6204",,"1609","1613",,86,"10.1126/science.1256484",2-s2.0-84907483928
"Ambrose S.H.","7005188866;","Late Pleistocene human population bottlenecks, volcanic winter, and differentiation of modern humans",1998,"Journal of Human Evolution","34","6",,"623","651",,371,"10.1006/jhev.1998.0219",2-s2.0-0032098253
"Ambrose S.H.","7005188866;","Small things remembered: Origins of early microlithic industries in Sub-Saharan Africa",2002,"Archeological Papers of the American Anthropological Association","12","1",,"9","29",,130,"10.1525/ap3a.2002.12.1.9",2-s2.0-84923938490
"Arcelin A.","","Les Nouvelles fouilles de Solutré (Près Mâcon, Saône-et-Loire)",1890,"L'Anthropologie","1",,,"295","313",,3,,2-s2.0-84950617545
"Archer W., Gunz P., Van Niekerk K.L., Henshilwood C.S., McPherron S.P.","35085743300;6506472733;55618288400;6603544431;6506777264;","Diachronic change within the Still Bay at Blombos Cave, South Africa",2015,"PLoS ONE","10","7", e0132428,"","",,23,"10.1371/journal.pone.0132428",2-s2.0-84940055265
"Backwell L., d'Errico F., Wadley L.","6506529208;57215198704;6602838148;","Middle Stone Age bone tools from the Howiesons Poort layers, Sibudu Cave, South Africa",2008,"Journal of Archaeological Science","35","6",,"1566","1580",,178,"10.1016/j.jas.2007.11.006",2-s2.0-41949116793
"Beal L.M., De Ruijter W.P.M., Biastoch A., Zahn R., Cronin M., Hermes J., Lutjeharms J., Quartly G., Tozuka T., Baker-Yeboah S., Bornman T., Cipollini P., Dijkstra H., Hall I., Park W., Peeters F., Penven P., Ridderinkhof H., Zinke J.","6603845748;7004888086;55907056900;23045873700;7203085045;7003264533;7006115745;7003341226;6701725792;35253259100;6507969569;7004259608;7006710430;7201625717;55728284400;57211010492;6602134946;6602555895;55966596400;","On the role of the Agulhas system in ocean circulation and climate",2011,"Nature","472","7344",,"429","436",,296,"10.1038/nature09983",2-s2.0-79955538029
"Beaumont P.B.","",[No title available],1978,"Border Cave. M.A. Thesis",,,,"","",,1,,2-s2.0-84974621243
"Bivand R.S., Pebesma E., Gómez-Rubio V.","6602121571;6603459366;57202653976;","Applied Spatial Data Analysis with R: Second Edition",2013,"Applied Spatial Data Analysis with R: Second Edition",,,,"1","405",,613,"10.1007/978-1-4614-7618-4",2-s2.0-85016868365
"Bleed P.","57204378192;","Content as variability, result as selection: Toward a behavioral definition of technology",1997,"Archeological Papers of the American Anthropological Association","7","1",,"95","104",,16,"10.1525/ap3a.1997.7.1.95",2-s2.0-85040390809
"Bonhomme V., Picq S., Gaucherel C., Claude J.","55581390500;36091924200;12244504200;7102687004;","Momocs: Outline analysis using R",2014,"Journal of Statistical Software","56","13",,"1","24",,149,"10.18637/jss.v056.i13",2-s2.0-84894280909
"Bousman C.B.","6507455571;","Hunter-gatherer adaptations, economic risk and tool design",1993,"Lithic Technology","18","1-2",,"59","86",,97,"10.1080/01977261.1993.11720897",2-s2.0-84976728193
"Breuil H.","","Ancient raised beaches and prehistoric civilisations in South Africa",1948,"S. Afr. J. Sci.","44",,,"61","74",,3,,2-s2.0-11144275252
"Brown K.S., Marean C.W., Herries A.I.R., Jacobs Z., Tribolo C., Braun D., Roberts D.L., Meyer M.C., Bernatchez J.","40360954500;6701351179;6507251186;23392343600;6507847161;23972180300;55465526400;57210504508;22933912000;","Fire as an engineering tool of early modern humans",2009,"Science","325","5942",,"859","862",,324,"10.1126/science.1175028",2-s2.0-68949215790
"Chase B.M., Meadows M.E.","14062947700;7102095635;","Late Quaternary dynamics of southern Africa's winter rainfall zone",2007,"Earth-Science Reviews","84","3-4",,"103","138",,339,"10.1016/j.earscirev.2007.06.002",2-s2.0-34848920890
