Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Albarella U.","",[No title available],2002,"Size Matters: How and Why Biometry is Still Important in Zooarchaeology, Bones and the Man: Studies in Honour of Don Brothwell",,,,"","",,1,,2-s2.0-84892992929
"Albarella U., Dobney K., Rowley-Conwy P.","8267110000;6602595568;57204378841;","Size and shape of the Eurasian wild boar (Sus scrofa), with a view to the reconstruction of its Holocene history",2009,"Environmental Archaeology","14","2",,"103","136",,45,"10.1179/146141009X12481709928283",2-s2.0-73949130124
"Arbuckle B.S.","","Experimental animal domestication and its application to the study of animal exploitation in prehistory",2005,"Proceedings of the 19th Conference of the International Council of Archaeozoology, Durham, August 2002",,,,"18","33",,22,,2-s2.0-79952447099
"Baylac M., Friess M.","","Fourier descriptors, Procrustes superimposition, and data dimensionality: An example of cranial shape analysis in modern human populations",2005,"Modern Morphometrics in Physical Anthropology",,,,"145","165",,90,,2-s2.0-14744301944
"Belyaev D.K.","","Domestication of animals",1969,"Sci. J.","5","1",,"47","52",,81,,2-s2.0-0005835040
"Belyaev D.K.","7006351078;","Destabilizing selection as a factor in domestication",1979,"Journal of Heredity","70","5",,"301","308",,338,"10.1093/oxfordjournals.jhered.a109263",2-s2.0-0018640696
"Bignon O., Baylac M., Vigne J.-D., Eisenmann V.","15135083300;6701570331;7006603465;6701396464;","Geometric morphometrics and the population diversity of Late Glacial horses in Western Europe (Equus caballus arcelini): Phylogeographic and anthropological implications",2005,"Journal of Archaeological Science","32","3",,"375","391",,37,"10.1016/j.jas.2004.02.016",2-s2.0-14744301135
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Cardini A., Elton S.","21933368100;6701517719;","Geographical and taxonomic influences on cranial variation in red colobus monkeys (Primates, Colobinae): Introducing a new approach to 'morph' monkeys",2009,"Global Ecology and Biogeography","18","2",,"248","263",,36,"10.1111/j.1466-8238.2008.00432.x",2-s2.0-60349098558
"Cardini A., Jansson A.-U., Elton S.","21933368100;21934065200;6701517719;","A geometric morphometric approach to the study of ecogeographical and clinal variation in vervet monkeys",2007,"Journal of Biogeography","34","10",,"1663","1678",,112,"10.1111/j.1365-2699.2007.01731.x",2-s2.0-34648819384
"Clutton-Brock J.","","The Walking Larder: Patterns of Domestication, Pastoralism, and Predation",1989,"The Walking Larder: Patterns of Domestication, Pastoralism, and Predation",,,,"","",,79,,2-s2.0-0003715460
"Coppinger R., Glendinning J., Torop E., Matthay C., Sutherland M., Smith C.","7004206350;57192361335;57192361485;57192361699;7101639844;57190107170;","Degree of Behavioral Neoteny Differentiates Canid Polymorphs",1987,"Ethology","75","2",,"89","108",,56,"10.1111/j.1439-0310.1987.tb00645.x",2-s2.0-85005697429
"Cucchi T., Fujita M., Dobney K.","6506822509;18041913000;6602595568;","New insights into pig taxonomy, domestication and human dispersal in Island South East Asia: Molar shape analysis of Sus remains from Niah Caves, Sarawak",2009,"International Journal of Osteoarchaeology","19","4",,"508","530",,55,"10.1002/oa.974",2-s2.0-70349639859
"Cucchi T., Hulme-Beaman A., Yuan J., Dobney K.","6506822509;36627224600;56988201600;6602595568;","Early Neolithic pig domestication at Jiahu, Henan Province, China: Clues from molar shape analyses using geometric morphometric approaches",2011,"Journal of Archaeological Science","38","1",,"11","22",,79,"10.1016/j.jas.2010.07.024",2-s2.0-78049286754
"Curran S.C.","54794884200;","Expanding ecomorphological methods: Geometric morphometric analysis of Cervidae post-crania",2012,"Journal of Archaeological Science","39","4",,"1172","1182",,21,"10.1016/j.jas.2011.12.028",2-s2.0-84856404937
"Darwin C.","",[No title available],1868,"The Variation of Animals and Plants under Domestication",,,,"","",,1501,,2-s2.0-0003696589
"Davis S.J.M.","56326919700;","Zooarchaeological evidence for Moslem and Christian improvements of sheep and cattle in Portugal",2008,"Journal of Archaeological Science","35","4",,"991","1010",,26,"10.1016/j.jas.2007.07.001",2-s2.0-38949193924
"Davis S.J.M., Svensson E.M., Albarella U., Detry C., Götherström A., Pires A.E., Ginja C.","56326919700;16178314700;8267110000;36163862900;6602916497;13004796100;25622566900;","Molecular and osteometric sexing of cattle metacarpals: A case study from 15th century AD Beja, Portugal",2012,"Journal of Archaeological Science","39","5",,"1445","1454",,16,"10.1016/j.jas.2011.12.003",2-s2.0-84857116464
"Dinu A.","55901883800;","The action of the masticatory muscles and cranial changes in pigs as results of domestication",2009,"Documenta Praehistorica","36","1",,"207","218",,1,"10.4312/dp.36.13",2-s2.0-84893018229
"Dobney K., Cucchi T., Larson G.","6602595568;6506822509;8280762100;","The pigs of Island Southeast Asia and the Pacific: New evidence for taxonomic status and human-mediated dispersal",2008,"Asian Perspectives","47","1",,"59","74",,33,,2-s2.0-41549160645
"Drake A.G.","23008538800;","Dispelling dog dogma: An investigation of heterochrony in dogs using 3D geometric morphometric analysis of skull shape",2011,"Evolution and Development","13","2",,"204","213",,62,"10.1111/j.1525-142X.2011.00470.x",2-s2.0-79952716462
"Drake A.G., Klingenberg C.P.","23008538800;7004588456;","Large-scale diversification of skull shape in domestic dogs: Disparity and modularity",2010,"American Naturalist","175","3",,"289","301",,206,"10.1086/650372",2-s2.0-77949511896
"Ervynck A., Dobney K., Hongo H., Meadow R.","","Born free? New evidence for the status of Sus scrofa at Neolithic Çayönü Tepesi (Southeastern Anatolia, Turkey)",2001,"Paléorient","27","2",,"47","73",,93,,2-s2.0-14844344481
[No author name available],[No author id available],[No title available],2010,"EVAN toolbox",,,,"","",,2,,2-s2.0-78751702380
"Evin A., Cucchi T., Cardini A., Strand Vidarsdottir U., Larson G., Dobney K.","23977570900;6506822509;21933368100;55349385000;8280762100;6602595568;","The long and winding road: Identifying pig domestication through molar size and shape",2013,"Journal of Archaeological Science","40","1",,"735","743",,87,"10.1016/j.jas.2012.08.005",2-s2.0-84867907430
"Fang M., Larson G., Ribeiro H.S., Li N., Andersson L.","16306989900;8280762100;24503767800;36014389400;7403057299;","Contrasting mode of evolution at a coat color locus in wild and domestic pigs",2009,"PLoS Genetics","5","1", e1000341,"","",,140,"10.1371/journal.pgen.1000341",2-s2.0-59249105970
"Gould S.J.","",[No title available],1977,"Ontogeny and Phylogeny",,,,"","",,3307,,2-s2.0-0004160847
"Groves C.","","Ancestors for the pigs: Taxonomy and phylogeny of the genus Sus",1981,"Ancestors for the Pigs: Taxonomy and Phylogeny of the Genus Sus",,,,"","",,75,,2-s2.0-0011024584
"Hare B., Wobber V., Wrangham R.","8668054100;24336547700;7003697368;","The self-domestication hypothesis: Evolution of bonobo psychology is due to selection against aggression",2012,"Animal Behaviour","83","3",,"573","585",,205,"10.1016/j.anbehav.2011.12.007",2-s2.0-84857063681
"Harvati K., Frost S.R., McNulty K.P.","57203032637;7102366517;7004717904;","Neanderthal taxonomy reconsidered: Implications of 3D primate models of intra- and interspecific differences",2004,"Proceedings of the National Academy of Sciences of the United States of America","101","5",,"1147","1152",,123,"10.1073/pnas.0308085100",2-s2.0-0842299590
"Klingenberg C.P.","7004588456;","MorphoJ: An integrated software package for geometric morphometrics",2011,"Molecular Ecology Resources","11","2",,"353","357",,1766,"10.1111/j.1755-0998.2010.02924.x",2-s2.0-78650839801
"Kovarovic K., Aiello L.C., Cardini A., Lockwood C.A.","15827625200;7006805529;21933368100;7102516713;","Discriminant function analyses in archaeology: Are classification rates too good to be true?",2011,"Journal of Archaeological Science","38","11",,"3006","3018",,101,"10.1016/j.jas.2011.06.028",2-s2.0-80053448090
"Kruska D., Röhrs M.","55998548400;6603706134;","Comparative-quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs",1974,"Zeitschrift für Anatomie und Entwicklungsgeschichte","144","1",,"61","73",,40,"10.1007/BF00518633",2-s2.0-0016196360
"Künzl C., Kaiser S., Meier E., Sachser N.","6506981640;7103104947;56681374400;35547933900;","Is a wild mammal kept and reared in captivity still a wild animal?",2003,"Hormones and Behavior","43","1",,"187","196",,85,"10.1016/S0018-506X(02)00017-X",2-s2.0-0037222853
"Larson G., Albarella U., Dobney K., Rowley-Conwy P., Schibler J., Tresset A., Vigne J.-D., Edwards C.J., Schlumbaum A., Dinu A., Bǎlǎçsescu A., Dolman G., Tagliacozzo A., Manaseryan N., Miracle P., Van Wijngaarden-Bakker L., Masseti M., Bradley D.G., Cooper A.","8280762100;8267110000;6602595568;57204378841;11839895900;6506727552;7006603465;7403062043;14045945100;55901883800;22133645700;8503359500;24327886200;6504363518;8885138300;6508373196;6602890606;7403122733;35263632400;","Ancient DNA, pig domestication, and the spread of the Neolithic into Europe",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","39",,"15276","15281",,292,"10.1073/pnas.0703411104",2-s2.0-34848916115
"Lawing A.M., Polly P.D.","23974497200;9841533000;","Geometric morphometrics: Recent applications to the study of evolution and development: REVIEW",2010,"Journal of Zoology","280","1",,"1","7",,97,"10.1111/j.1469-7998.2009.00620.x",2-s2.0-73349091228
"Lyman R.L.","",[No title available],1994,"Vertebrate Taphonomy. Cambridge Manuals in Archaeology",,,,"","",,91,,2-s2.0-0004298048
"Mayer J.J., Brisbin I.L.","","Sex identification of Sus scrofa based on canine morphology",1988,"Journal of Mammalogy","69","2",,"408","412",,16,,2-s2.0-1842800151
"Mayer J.J., Novak J.M., Brisbin I.L.","","Evaluation of molar size as a basis for distinguishing wild boar from domestic swine: employing the present to decipher the past",1998,"Ancestors for the Pigs: Pigs in Prehistory","15",,,"39","53",,20,,2-s2.0-78049240059
"Meiri S., Dayan T.","23005279600;7003620454;","On the validity of Bergmann's rule",2003,"Journal of Biogeography","30","3",,"331","351",,441,"10.1046/j.1365-2699.2003.00837.x",2-s2.0-0037360332
"Mitteroecker P., Gunz P.","6507135382;6506472733;","Advances in Geometric morphometrics",2009,"Evolutionary Biology","36","2",,"235","247",,573,"10.1007/s11692-009-9055-x",2-s2.0-69449097227
"Mitteroecker P., Gunz P., Bookstein F.L.","6507135382;6506472733;7004606384;","Heterochrony and geometric morphometrics: A comparison of cranial growth in Pan paniscus versus Pan troglodytes",2005,"Evolution and Development","7","3",,"244","258",,154,"10.1111/j.1525-142X.2005.05027.x",2-s2.0-18944393442
"Morey D.F.","6602985141;","Size, shape and development in the evolution of the domestic dog",1992,"Journal of Archaeological Science","19","2",,"181","204",,91,"10.1016/0305-4403(92)90049-9",2-s2.0-0026465407
"Morey D.F.","6602985141;","The early evolution of the domestic dog",1994,"American Scientist","82","4",,"336","347",,138,,2-s2.0-0028599266
"O'Higgins P.","7004722122;","The study of morphological variation in the hominid fossil record: Biology, landmarks and geometry",2000,"Journal of Anatomy","197","1",,"103","120",,233,"10.1017/S0021878299006330",2-s2.0-0033852603
"O'Higgins P., Jones N.","7004722122;57199321878;","Facial growth in Cercocebus torquatus: An application of three-dimensional geometric morphometric techniques to the study of morphological variation",1998,"Journal of Anatomy","193","2",,"251","272",,277,"10.1017/S0021878298003975",2-s2.0-0031724058
"O'Regan H.J., Kitchener A.C.","6508040085;7004665755;","The effects of captivity on the morphology of captive, domesticated and feral mammals",2005,"Mammal Review","35","3-4",,"215","230",,117,"10.1111/j.1365-2907.2005.00070.x",2-s2.0-33744803475
"Payne S., Bull G.","","Components of variation in measurements of pig bones and teeth, and the use of measurements to distinguish wild from domestic pig remains",1988,"Archaeozoologia","2","1-2",,"27","66",,106,,2-s2.0-0042000598
"Porter V.","","Pigs",1993,"Pigs: A Handbook to the Breeds of the World",,,,"","",,76,,2-s2.0-0003542942
"Price E.O.","57203882022;","Behavioral aspects of animal domestication.",1984,"Quarterly Review of Biology","59","1",,"1","32",,417,"10.1086/413673",2-s2.0-0021593592
"Price E.O.","57203882022;","Behavioral development in animals undergoing domestication",1999,"Applied Animal Behaviour Science","65","3",,"245","271",,334,"10.1016/S0168-1591(99)00087-8",2-s2.0-0033395128
"Rohlf F.J.","7003281107;","Bias and error in estimates of mean shape in geometric morphometrics",2003,"Journal of Human Evolution","44","6",,"665","683",,101,"10.1016/S0047-2484(03)00047-2",2-s2.0-0037659650
"Rosenberg M., Redding R.W.","","Early pig husbandry in southwestern Asia and its implications for modeling the origins of food production",1998,"Ancestors for the Pigs: Pigs in Prehistory",,,,"55","64",,10,,2-s2.0-61549096680
"Rowley-Conwy P., Dobney K.","","Wild boar and domestic pigs in Mesolithic and Neolithic southern Scandinavia",2007,"Pigs and Humans. 10,000 Years of Interaction",,,,"131","155",,15,,2-s2.0-51649106961
"Rowley-Conwy P., Albarella U., Dobney K.","57204378841;8267110000;6602595568;","Distinguishing Wild Boar from Domestic Pigs in Prehistory: A Review of Approaches and Recent Results",2012,"Journal of World Prehistory","25","1",,"1","44",,53,"10.1007/s10963-012-9055-0",2-s2.0-84858599203
"Sack W.O.","","Essentials of pig anatomy",1982,"Essentials of Pig Anatomy",,,,"","",,56,,2-s2.0-0004119099
"Scandura M., Iacolina L., Apollonio M.","6508328959;15061284300;7004580395;","Genetic diversity in the European wild boar Sus scrofa: Phylogeography, population structure and wild x domestic hybridization",2011,"Mammal Review","41","2",,"125","137",,70,"10.1111/j.1365-2907.2010.00182.x",2-s2.0-79952826576
"Sisson S., Grossman J.D.","",[No title available],1953,"The Anatomy of the Domestic Animals",,,,"","",,929,,2-s2.0-0004117539
"Trut L.N.","7003298627;","Early canid domestication: The farm-fox experiment: Foxes bred for tamability in a 40-year experiment exhibit remarkable transformations that suggest an interplay between behavioral genetics and development",1999,"American Scientist","87","2",,"160","169",,421,"10.1511/1999.2.160",2-s2.0-0001227499
"Vigne J.-D., Helmer D., Peters J.","","New archaeozoological approaches to trace the first steps of animal domestication: General presentation, reflections and proposals",2005,"The First Steps of Animal Domestication",,,,"1","16",,37,,2-s2.0-33748648778
