Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","A field comes of age: Geometric morphometrics in the 21st century",2013,"Hystrix","24","1",,"","",,304,"10.4404/hystrix-24.1-6283",2-s2.0-84875767161
"Anderson M.J., Willis T.J.","57203331728;7005643592;","Canonical analysis of principal coordinates: A useful method of constrained ordination for ecology",2003,"Ecology","84","2",,"511","525",,1338,"10.1890/0012-9658(2003)084[0511:CAOPCA]2.0.CO;2",2-s2.0-0042815050
"Baylor D.A., Lamb T.D., Yau K.W.","7006305680;7006034871;7101941408;","Responses of retinal rods to single photons.",1979,"The Journal of Physiology","288","1",,"613","634",,558,"10.1113/jphysiol.1979.sp012716",2-s2.0-0018333003
"Bellman R.","",[No title available],1957,"Dynamic Programming",,,,"","",,8636,,2-s2.0-0003787146
"Bement L.C., Carter B.J.","7003760099;7203070690;","Jake bluff: Clovis bison hunting on the southern Plains of North America",2010,"American Antiquity","75","4",,"907","933",,50,"10.7183/0002-7316.75.4.907",2-s2.0-77958131178
"Benn D.W., Hovde D.M.","","Intensive Survey of Archaeological Site 13AN52 (Rathburn Lake, Iowa)",1981,,,,,"1","77",,1,,2-s2.0-85055637957
"Blum M.G.B., Nunes M.A., Prangle D., Sisson S.A.","8873619100;13606213400;55220198600;6701853591;","A comparative review of dimension reduction methods in approximate bayesian computation",2013,"Statistical Science","28","2",,"189","208",,143,"10.1214/12-STS406",2-s2.0-84878991573
"Boldurian A.T., Cotter J.L.","","Clovis Revisited: New Perspectives on Paleoindian Adaptations from Blackwater Draw",1999,"Clovis Revisited: New Perspectives on Paleoindian Adaptations from Blackwater Draw, New Mexico",,,,"","",,82,,2-s2.0-0003685379
"Bookstein F.L.","7004606384;","Size and shape spaces for landmark data in two dimensions",1986,"Statistical Science","1","2",,"181","222",,385,"10.1214/ss/1177013696",2-s2.0-84972512610
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3975,,2-s2.0-0003597817
"Boisvert R.A.","","The Israel river complex: A Paleoindian manifestation in Jefferson, new Hampshire",1998,"Archaeology of Eastern North America","26",,,"97","106",,14,,2-s2.0-0009464894
"Bradley J.W., Spiess A.E., Boisvert R.A., Boudreau J.","","What's the point? Modal forms and attributes of Paleoindian Bifaces in the new England-Maritimes region",2008,"Archaeology of Eastern North America","36",,,"119","172",,65,,2-s2.0-69249196330
"Bronstein M.M., Bruna J., Lecun Y., Szlam A., Vandergheynst P.","7005532788;50461069300;55666793600;11539079600;7004114381;","Geometric Deep Learning: Going beyond Euclidean data",2017,"IEEE Signal Processing Magazine","34","4", 7974879,"18","42",,338,"10.1109/MSP.2017.2693418",2-s2.0-85032751403
"Broster J.B., Norton M.R.","","The Carson-Conn-Short Site (40BN190): An Extensive Clovis Habitation in Benton County, Tennessee",1993,"Current Research in the Pleistocene","10",,,"3","4",,20,,2-s2.0-77749315232
"Broster J.B., Norton M.R.","","Recent Paleoindian research in Tennessee",1996,"The Paleoindian and Early Archaic Southeast",,,,"288","297",,27,,2-s2.0-0013016881
"Broster J.B., Norton M.R., Hulan B., Durham E.","","A Preliminary Analysis of Clovis Through Early Archaic Components at the Widemeier Site (40DV9), Davidson County, Tennessee",2006,"Tennessee Archaeology","2","2",,"120","127",,4,,2-s2.0-85028890828
"Broster J.B., Norton M.R., Miller D.S., Tune J.W., Baker J.D.","57193075755;57205057477;25951410900;57147370500;57195563708;","Tennessee’s Paleoindian record: The Cumberland and lower Tennessee river watersheds",2013,"In the Eastern Fluted Point Tradition",,,,"299","314",,18,,2-s2.0-85016431938
"Brunswig R.H., Pitblado B.L.","6504142749;6503893519;","Frontiers in Colorado Paleoindian archaeology: From the dent site to the rocky mountains",2007,"Frontiers in Colorado Paleoindian Archaeology: From the Dent Site to the Rocky Mountains",,,,"1","364",,8,,2-s2.0-84895006637
"Brunswig R.H.","6504142749;","New interpretations of the Dent Mammoth Site a synthesis of recent multidisciplinary evidence",2007,"Frontiers in Colorado Paleoindian Archaeology: From the Dent Site to the Rocky Mountains",,,,"87","121",,16,,2-s2.0-77949541044
"Buchanan B., Collard M.","11241802300;7102608373;","A geometric morphometrics-based assessment of blade shape differences among Paleoindian projectile point types from western North America",2010,"Journal of Archaeological Science","37","2",,"350","359",,71,"10.1016/j.jas.2009.09.047",2-s2.0-70449670300
"Buchanan B., Collard M., Hamilton M.J., O'Brien M.J.","11241802300;7102608373;8578778600;36128081000;","Points and prey: A quantitative test of the hypothesis that prey size influences early Paleoindian projectile point form",2011,"Journal of Archaeological Science","38","4",,"852","864",,47,"10.1016/j.jas.2010.11.007",2-s2.0-79251608170
"Buchanan B., Eren M.I., Boulanger M.T., O'Brien M.J.","11241802300;23975681200;15520464200;36128081000;","Size, shape, scars, and spatial patterning: A quantitative assessment of late Pleistocene (Clovis) point resharpening",2015,"Journal of Archaeological Science: Reports","3",,,"11","21",,24,"10.1016/j.jasrep.2015.05.011",2-s2.0-84929612436
"Buchanan B., Hamilton M.J.","11241802300;8578778600;","A Formal test of the origin of variation in north american early paleoindian projectile points",2009,"American Antiquity","74","2",,"279","298",,54,"10.1017/S0002731600048605",2-s2.0-66349136208
"Buchanan B., Johnson E., Strauss R.E., Lewis P.J.","11241802300;7404680660;7202966775;7402869675;","A morphometric approach to assessing late Paleoindian projectile point variability on the southern High Plains",2007,"Plains Anthropologist","52","203",,"279","299",,19,"10.1179/pan.2007.019",2-s2.0-35748979699
"Buchanan B., Kilby J.D., Huckell B.B., O'Brien M.J., Collard M.","11241802300;37040610800;15127093100;36128081000;7102608373;","A morphometric assessment of the intended function of cached Clovis points",2012,"PLoS ONE","7","2", e30530,"","",,28,"10.1371/journal.pone.0030530",2-s2.0-84856795784
"Buchanan B., O'Brien M.J., Collard M.","11241802300;36128081000;7102608373;","Continent-wide or region-specific? A geometric morphometrics-based assessment of variation in Clovis point shape",2014,"Archaeological and Anthropological Sciences","6","2",,"145","162",,66,"10.1007/s12520-013-0168-x",2-s2.0-84898651207
"Buchanan B., O'Brien M.J., Kilby J.D., Huckell B.B., Collard M.","11241802300;36128081000;37040610800;15127093100;7102608373;","An assessment of the impact of hafting on paleoindian point variability",2012,"PLoS ONE","7","5", e36364,"","",,15,"10.1371/journal.pone.0036364",2-s2.0-84861621113
"Butler B.R.","","An Early Man Site at Big Camas Prairie, South-Central Idaho",1963,"Tebiwa","6","1",,"22","33",,41,,2-s2.0-33645825795
"Campbell N.A., Atchley W.R.","","The geometry of canonical variate analysis",1981,"Systematic Zoology","30","3",,"268","280",,164,,2-s2.0-0000116015
"Cavanagh P.","57203625101;","Visual cognition",2011,"Vision Research","51","13",,"1538","1551",,56,"10.1016/j.visres.2011.01.015",2-s2.0-79960641369
"Chacón M.G., Détroit F., Coudenneau A., Moncel M.-H.","11240229900;57202311017;26033507000;6602599048;","Morphometric assessment of convergent tool technology and function during the early middle Palaeolithic: The case of Payre, France",2016,"PLoS ONE","11","5", e0155316,"","",,12,"10.1371/journal.pone.0155316",2-s2.0-84971273458
"Culverhouse P.F., Macleod N., Williams R., Benfield M.C., Lopes R.M., Picheral M.","6602680029;57200347364;7409602688;7003482307;16413638000;6602439344;","An empirical assessment of the consistency of taxonomic identifications",2014,"Marine Biology Research","10","1",,"73","84",,20,"10.1080/17451000.2013.810762",2-s2.0-84887123274
"Davis J.C.","",[No title available],1986,"Statistics and Data Analysis in Geology",,,,"","",,5889,,2-s2.0-0003401014
"Davis L.G., Bean D.W., Nyers A.J., Brauner D.R.","7403144732;56721019200;56538453400;56721127100;","Glimr: A gis-based method for the geometric morphometric analysis of artifacts",2015,"Lithic Technology","40","3",,"199","217",,10,"10.1179/2051618515Y.0000000007",2-s2.0-84937030926
"de Azevedo S., Charlin J., González-José R.","34972634100;26658892500;6602423911;","Identifying design and reduction effects on lithic projectile point shapes",2014,"Journal of Archaeological Science","41",,,"297","307",,26,"10.1016/j.jas.2013.08.013",2-s2.0-84884376430
"Dempster A.P., Laird N.M., Rubin D.B.","","Maximum likelihood from incomplete data via the EM algorithm",1977,"Journal of the Royal Statistical Society, Series B","39","1",,"1","38",,29959,,2-s2.0-0002629270
"DeVries T., Taylor G.W.","","Dataset augmentation in feature space",2017,"Dataset Augmentation in Feature Space",,,,"","",,51,,2-s2.0-85035095999
"Ellis C.","","Understanding ""Clovis"" fluted point variability in the Northeast: a perspective from the Debert site, Nova Scotia",2004,"Canadian Journal of Archaeology","28","2",,"205","253",,47,,2-s2.0-51649093654
"Eren M.I., Andrews B.N.","23975681200;26661326100;","Were bifaces used as mobile cores by Clovis foragers in the north American lower great lakes region? An archaeological test of experimentally derived quantitative predictions",2013,"American Antiquity","78","1",,"166","180",,31,"10.7183/0002-7316.78.1.166",2-s2.0-84873841257
"Eren M.I., Buchanan B., O'Brien M.J.","23975681200;11241802300;36128081000;","Social learning and technological evolution during the Clovis colonization of the New World",2015,"Journal of Human Evolution","80",,,"159","170",,48,"10.1016/j.jhevol.2015.01.002",2-s2.0-84923363624
"Figueirido B., MacLeod N., Krieger J., De Renzi M., Pérez-Claros J.A., Palmqvist P.","25930860100;57200347364;16245083500;6503959469;55666831600;56051321800;","Constraint and adaptation in the evolution of carnivoran skull shape",2011,"Paleobiology","37","3",,"490","518",,45,"10.1666/09062.1",2-s2.0-79958717165
