Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3980,,,,"Bookstein, F.L.",[No abstract available],,,,,,Scopus,2-s2.0-0003597817
"Zelditch M., Swiderski D., Sheets H., Fink W.","6701615282;35493322600;55663863700;7005590403;","Geometric Morphometrics for Biologists",2004,"Geometric Morphometrics for Biologists",,,,"1","443",,1396,"10.1016/B978-0-12-778460-1.X5000-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902728366&doi=10.1016%2fB978-0-12-778460-1.X5000-5&partnerID=40&md5=bbfcd38d36d5bc6566def6d8fd5dec57","Museum of Paleontology, University of Michigan, MI, United States; Mammal Division, Museum of Zoology, University of Michigan, MI, United States; Department of Physics, Canisius College, Buffalo NY, United States","Zelditch, M., Museum of Paleontology, University of Michigan, MI, United States; Swiderski, D., Mammal Division, Museum of Zoology, University of Michigan, MI, United States; Sheets, H., Department of Physics, Canisius College, Buffalo NY, United States; Fink, W., Mammal Division, Museum of Zoology, University of Michigan, MI, United States","Geometric Morphometrics for Biologists is an introductory textbook for a course on geometric morphometrics, written for graduate students and upper division undergraduates, covering both theory of shape analysis and methods of multivariate analysis. It is designed for students with minimal math background; taking them from the process of data collection through basic and more advanced statistical analyses. Many examples are given, beginning with simple although realistic case-studies, through examples of complex analyses requiring several different kinds of methods. The book also includes URLâs for free software and step-by-step instructions for using the software. © 2004 Elsevier Inc. All rights reserved.",,,Book,"Final",,Scopus,2-s2.0-84902728366
"James Rohlf F., Marcus L.F.","24518567800;7005305240;","A revolution morphometrics",1993,"Trends in Ecology and Evolution","8","4",,"129","132",,1268,"10.1016/0169-5347(93)90024-J","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242462501&doi=10.1016%2f0169-5347%2893%2990024-J&partnerID=40&md5=14afd83efbc93ae5f62d49a4829a5597","Dept of Ecology and Evolution, State University of New York, Stony Brook, NY 11794-5245, United States; Dept of Biology, Queen's College, CUNY, Flushing, NY 11367, United States","James Rohlf, F., Dept of Ecology and Evolution, State University of New York, Stony Brook, NY 11794-5245, United States; Marcus, L.F., Dept of Biology, Queen's College, CUNY, Flushing, NY 11367, United States","We are now in the midst of a revolution in morphometric methodology. The new approaches are more effective in capturing information about the shape of an organism and result in more powerful statistical procedures for testing for differences in s shape. They are also more effective in enabling a researcher to visualize differences in shape and in suggesting simple traditional measurements that could be used in future studies. In this review we emphasize applications to exploratory studies in taxonomy and evolution. © 1993.",,,Review,"Final",,Scopus,2-s2.0-0242462501
"Adams D.C., Rohlf F.J., Slice D.E.","7404054540;7003281107;6603334019;","Geometric morphometrics: Ten years of progress following the ‘revolution’",2004,"Italian Journal of Zoology","71","1",,"5","16",,1201,"10.1080/11250000409356545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1242321708&doi=10.1080%2f11250000409356545&partnerID=40&md5=74fa0a4ec02d5ccc6f34b38d4e228cd8","Department of Ecology, Evolution, Organismal Biology, Department of Statistics, Iowa State University, Ames, IA, 50011–3223, United States; Department of Ecology and Evolution, State University of New York, Stony Brook, NY, 11794–5245, United States; Institute for Anthropology, University of Vienna, Winston-Salem, NC, 27157–1022, Austria; Department of Medical Engineering, Wake Forest University School of Medicine, Winston-Salem, NC, 27157–1022, United States","Adams, D.C., Department of Ecology, Evolution, Organismal Biology, Department of Statistics, Iowa State University, Ames, IA, 50011–3223, United States; Rohlf, F.J., Department of Ecology and Evolution, State University of New York, Stony Brook, NY, 11794–5245, United States; Slice, D.E., Institute for Anthropology, University of Vienna, Winston-Salem, NC, 27157–1022, Austria, Department of Medical Engineering, Wake Forest University School of Medicine, Winston-Salem, NC, 27157–1022, United States","The analysis of shape is a fundamental part of much biological research. As the field of statistics developed, so have the sophistication of the analysis of these types of data. This lead to multivariate morphometrics in which suites of measurements were analyzed together using canonical variates analysis, principal components analysis, and related methods. In the 1980s, a fundamental change began in the nature of the data gathered and analyzed. This change focused on the coordinates of landmarks and the geometric information about their relative positions. As a by-product of such an approach, results of multivariate analyses could be visualized as configurations of landmarks back in the original space of the organism rather than only as statistical scatter plots. This new approach, called “geometric morphometrics”;, had benefits that lead Rohlf and Marcus (1993) to proclaim a “revolution”; in morphometrics. In this paper, we briefly update the discussion in that paper and summarize the advances in the ten years since the paper by Rohlf and Marcus. We also speculate on future directions in morphometric analysis. © 2004 Taylor & Francis Group, LLC.","Generalized Procrustes analysis; Geometric morphometrics; Shape analysis","geometry; morphometry; zoology; Procrustes",Article,"Final",Open Access,Scopus,2-s2.0-1242321708
"Jernvall J., Thesleff I.","6603722003;7005319521;","Reiterative signaling and patterning during mammalian tooth morphogenesis",2000,"Mechanisms of Development","92","1",,"19","29",,733,"10.1016/S0925-4773(99)00322-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033998420&doi=10.1016%2fS0925-4773%2899%2900322-6&partnerID=40&md5=990a1ae04ec8e3f4079a35145da1ee22","Developmental Biology Program, Inst. Biotech., Viikki Biocenter, P., Helsinki, Finland","Jernvall, J., Developmental Biology Program, Inst. Biotech., Viikki Biocenter, P., Helsinki, Finland; Thesleff, I., Developmental Biology Program, Inst. Biotech., Viikki Biocenter, P., Helsinki, Finland","Mammalian dentition consists of teeth that develop as discrete organs. From anterior to posterior, the dentition is divided into regions of incisor, canine, premolar and molar tooth types. Particularly teeth in the molar region are very diverse in shape. The development of individual teeth involves epithelial-mesenchymal interactions that are mediated by signals shared with other organs. Parts of the molecular details of signaling networks have been established, particularly in the signal families BMP, FGF, Hh and Wnt, mostly by the analysis of gene expression and signaling responses in knockout mice with arrested tooth development. Recent evidence suggests that largely the same signaling cascade is used reiteratively throughout tooth development. The successional determination of tooth region, tooth type, tooth crown base and individual cusps involves signals that regulate tissue growth and differentiation. Tooth type appears to be determined by epithelial signals and to involve differential activation of homeobox genes in the mesenchyme. This differential signaling could have allowed the evolutionary divergence of tooth shapes among the four tooth types. The advancing tooth morphogenesis is punctuated by transient signaling centers in the epithelium corresponding to the initiation of tooth buds, tooth crowns and individual cusps. The latter two signaling centers, the primary enamel knot and the secondary enamel knot, have been well characterized and are thought to direct the differential growth and subsequent folding of the dental epithelium. Several members of the FGF signal family have been implicated in the control of cell proliferation around the non-dividing enamel knots. Spatiotemporal induction of the secondary enamel knots determines the cusp patterns of individual teeth and is likely to involve repeated activation and inhibition of signaling as suggested for patterning of other epithelial organs. (C) 2000 Elsevier Science Ireland Ltd.","Mammalian tooth morphogenesis; Patterning; Signaling","animal tissue; embryo; gene activation; gene expression; mesenchyme; mouse; nonhuman; priority journal; regulatory mechanism; review; signal transduction; tissue differentiation; tissue growth; tooth crown; tooth development; Animals; Bone Morphogenetic Proteins; Cell Division; Cell Lineage; Fibroblast Growth Factors; Mammals; Mesoderm; Mice; Models, Biological; Morphogenesis; Signal Transduction; Tooth; Transcription Factors; Tumor Necrosis Factor-alpha; Animalia; Mammalia",Review,"Final",Open Access,Scopus,2-s2.0-0033998420
"Perelman P., Johnson W.E., Roos C., Seuánez H.N., Horvath J.E., Moreira M.A.M., Kessing B., Pontius J., Roelke M., Rumpler Y., Schneider M.P.C., Silva A., O'Brien S.J., Pecon-Slattery J.","6602267530;7404848826;7102389391;7005116841;7202923730;55207553500;6602254152;6603864566;7003436462;7006272761;7404063866;7403221897;7402355306;6602405281;","A molecular phylogeny of living primates",2011,"PLoS Genetics","7","3", e1001342,"","",,702,"10.1371/journal.pgen.1001342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953755778&doi=10.1371%2fjournal.pgen.1001342&partnerID=40&md5=34bd2b07590e69b35f4910224dba0274","Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States; Gene Bank of Primates and Primate Genetics Laboratory, German Primate Center, Göttingen, Germany; Division of Genetics, Instituto Nacional de Câncer and Department of Genetics, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Department of Evolutionary Anthropology, Institute for Genome Sciences and Policy, Duke University, Durham, NC, United States; SAIC-Frederick, Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States; Physiopathologie et Médecine Translationnelle, Faculté de Médecine, Université Louis Pasteur, Strasbourg, France; Universidade Federal do Pará, Belém, Brazil; Laboratory of Cytogenetics of Animals, Institute of Chemical Biology and Fundamental Medicine, Novosibirsk, Russian Federation","Perelman, P., Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States, Laboratory of Cytogenetics of Animals, Institute of Chemical Biology and Fundamental Medicine, Novosibirsk, Russian Federation; Johnson, W.E., Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States; Roos, C., Gene Bank of Primates and Primate Genetics Laboratory, German Primate Center, Göttingen, Germany; Seuánez, H.N., Division of Genetics, Instituto Nacional de Câncer and Department of Genetics, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Horvath, J.E., Department of Evolutionary Anthropology, Institute for Genome Sciences and Policy, Duke University, Durham, NC, United States; Moreira, M.A.M., Division of Genetics, Instituto Nacional de Câncer and Department of Genetics, Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; Kessing, B., SAIC-Frederick, Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States; Pontius, J., SAIC-Frederick, Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States; Roelke, M., SAIC-Frederick, Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States; Rumpler, Y., Physiopathologie et Médecine Translationnelle, Faculté de Médecine, Université Louis Pasteur, Strasbourg, France; Schneider, M.P.C., Universidade Federal do Pará, Belém, Brazil; Silva, A., Universidade Federal do Pará, Belém, Brazil; O'Brien, S.J., Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States; Pecon-Slattery, J., Laboratory of Genomic Diversity, National Cancer Institute-Frederick, Frederick, MD, United States","Comparative genomic analyses of primates offer considerable potential to define and understand the processes that mold, shape, and transform the human genome. However, primate taxonomy is both complex and controversial, with marginal unifying consensus of the evolutionary hierarchy of extant primate species. Here we provide new genomic sequence (~8 Mb) from 186 primates representing 61 (~90%) of the described genera, and we include outgroup species from Dermoptera, Scandentia, and Lagomorpha. The resultant phylogeny is exceptionally robust and illuminates events in primate evolution from ancient to recent, clarifying numerous taxonomic controversies and providing new data on human evolution. Ongoing speciation, reticulate evolution, ancient relic lineages, unequal rates of evolution, and disparate distributions of insertions/deletions among the reconstructed primate lineages are uncovered. Our resolution of the primate phylogeny provides an essential evolutionary framework with far-reaching applications including: human selection and adaptation, global emergence of zoonotic diseases, mammalian comparative genomics, primate taxonomy, and conservation of endangered species.",,"ape; article; Cercopithecidae; controlled study; Dermoptera; endangered species; evolutionary adaptation; evolutionary rate; gene deletion; gene insertion; gene sequence; genetic variability; genome analysis; human; human versus animal comparison; indel mutation; lagomorph; mammalian genetics; molecular phylogeny; nonhuman; phylogenetic tree; Platyrrhini; primate; prosimian; Scandentia; species difference; animal; biology; classification; female; genetics; genome; male; phylogeny; primate; Dermoptera; Lagomorpha; Mammalia; Primates; Scandentia; Animals; Computational Biology; Female; Genetic Variation; Genome; Male; Phylogeny; Primates",Article,"Final",Open Access,Scopus,2-s2.0-79953755778
"Mitteroecker P., Gunz P.","6507135382;6506472733;","Advances in Geometric morphometrics",2009,"Evolutionary Biology","36","2",,"235","247",,576,"10.1007/s11692-009-9055-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69449097227&doi=10.1007%2fs11692-009-9055-x&partnerID=40&md5=b3ed371cd9636aa0a4ab33d0e92745b7","Konrad Lorenz Institute for Evolution and Cognition Research, Adolf Lorenz Gasse 2, Altenberg A-3422, Austria; Department of Theoretical Biology, University of Vienna, Althanstrasse 14, Vienna A-1091, Austria; Department of Human Evolution, Max-Planck-Institute for Evolutionary Anthropology, Deutscher Platz 6, Leipzig D-04103, Germany","Mitteroecker, P., Konrad Lorenz Institute for Evolution and Cognition Research, Adolf Lorenz Gasse 2, Altenberg A-3422, Austria, Department of Theoretical Biology, University of Vienna, Althanstrasse 14, Vienna A-1091, Austria; Gunz, P., Department of Human Evolution, Max-Planck-Institute for Evolutionary Anthropology, Deutscher Platz 6, Leipzig D-04103, Germany","Geometric morphometrics is the statistical analysis of form based on Cartesian landmark coordinates. After separating shape from overall size, position, and orientation of the landmark configurations, the resulting Procrustes shape coordinates can be used for statistical analysis. Kendall shape space, the mathematical space induced by the shape coordinates, is a metric space that can be approximated locally by a Euclidean tangent space. Thus, notions of distance (similarity) between shapes or of the length and direction of developmental and evolutionary trajectories can be meaningfully assessed in this space. Results of statistical techniques that preserve these convenient properties-such as principal component analysis, multivariate regression, or partial least squares analysis-can be visualized as actual shapes or shape deformations. The Procrustes distance between a shape and its relabeled reflection is a measure of bilateral asymmetry. Shape space can be extended to form space by augmenting the shape coordinates with the natural logarithm of Centroid Size, a measure of size in geometric morphometrics that is uncorrelated with shape for small isotropic landmark variation. The thin-plate spline interpolation function is the standard tool to compute deformation grids and 3D visualizations. It is also central to the estimation of missing landmarks and to the semilandmark algorithm, which permits to include outlines and surfaces in geometric morphometric analysis. The powerful visualization tools of geometric morphometrics and the typically large amount of shape variables give rise to a specific exploratory style of analysis, allowing the identification and quantification of previously unknown shape features. © The Author(s) 2009.","Asymmetry; Form space; Kendall shape space; Procrustes; Semilandmarks; Thin-plate spline",,Article,"Final",Open Access,Scopus,2-s2.0-69449097227
"Goodman M., Porter C.A., Czelusniak J., Page S.L., Schneider H., Shoshani J., Gunnell G., Groves C.P.","7401997903;7202932720;6603867312;57196849504;7404405691;6602183212;6603865722;7005017145;","Toward a Phylogenetic Classification of Primates Based on DNA Evidence Complemented by Fossil Evidence",1998,"Molecular Phylogenetics and Evolution","9","3",,"585","598",,509,"10.1006/mpev.1998.0495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032088632&doi=10.1006%2fmpev.1998.0495&partnerID=40&md5=c0082cc128d0282c4e5dd0643a2e365e","Dept. of Anatomy and Cell Biology, Wayne Stt. Univ. School of Medicine, Detroit, MI 48201, United States; Centro de Ciencias Biologicas, Departamento de Genetica, Universidade Federal Do para, Belem, Para, Brazil; Department of Biological Sciences, Wayne State University, Detroit, MI 48202, United States; Museum of Paleontology, University of Michigan, Ann Arbor, MI 48109, United States; Dept. of Prehistory and Anthopology, Australian National University, P.O. Box 4, Canberra, ACT 2601, Australia","Goodman, M., Dept. of Anatomy and Cell Biology, Wayne Stt. Univ. School of Medicine, Detroit, MI 48201, United States; Porter, C.A., Dept. of Anatomy and Cell Biology, Wayne Stt. Univ. School of Medicine, Detroit, MI 48201, United States; Czelusniak, J., Dept. of Anatomy and Cell Biology, Wayne Stt. Univ. School of Medicine, Detroit, MI 48201, United States; Page, S.L., Dept. of Anatomy and Cell Biology, Wayne Stt. Univ. School of Medicine, Detroit, MI 48201, United States; Schneider, H., Centro de Ciencias Biologicas, Departamento de Genetica, Universidade Federal Do para, Belem, Para, Brazil; Shoshani, J., Department of Biological Sciences, Wayne State University, Detroit, MI 48202, United States; Gunnell, G., Museum of Paleontology, University of Michigan, Ann Arbor, MI 48109, United States; Groves, C.P., Dept. of Prehistory and Anthopology, Australian National University, P.O. Box 4, Canberra, ACT 2601, Australia","A highly resolved primate cladogram based on DNA evidence is congruent with extant and fossil osteological evidence. A provisional primate classification based on this cladogram and the time scale provided by fossils and the model of local molecular clocks has all named taxa represent clades and assigns the same taxonomic rank to those clades of roughly equivalent age. Order Primates divides into Strepsirhini and Haplorhini. Strepsirhines divide into Lemuriformes and Loriformes, whereas haplorhines divide into Tarsiiformes and Anthropoidea. Within Anthropoidea when equivalent ranks are used for divisions within Platyrrhini and Catarrhini, Homininae divides into Hylobatini (common and siamang gibbon) and Hominini, and the latter divides into Pongina forPongo(orangutans) and Hominina forGorillaandHomo. Homoitself divides into the subgeneraH.(Homo) for humans andH.(Pan) for chimpanzees and bonobos. The differences between this provisional age related phylogenetic classification and current primate taxonomies are discussed. © 1998 Academic Press.",,"DNA; animal; article; biological model; chemistry; classification; data base; DNA sequence; fossil; genetics; human; molecular evolution; nucleotide sequence; phylogeny; primate; time; Animals; Base Sequence; Databases; DNA; Evolution, Molecular; Fossils; Humans; Models, Genetic; Phylogeny; Primates; Sequence Analysis, DNA; Time",Article,"Final",,Scopus,2-s2.0-0032088632
"Hillson S.","",[No title available],2005,"Teeth",,,,"","",,496,,,,"Hillson, S.",[No abstract available],,,,"Final",,Scopus,2-s2.0-33747187288
"Kay R.F.","7203026774;","The functional adaptations of primate molar teeth",1975,"American Journal of Physical Anthropology","43","2",,"195","215",,461,"10.1002/ajpa.1330430207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016825530&doi=10.1002%2fajpa.1330430207&partnerID=40&md5=9446c6288c3339eeefede9d9f2949934","Department of Anatomy, Duke University Medical Center, Durham, North Carolina, United States","Kay, R.F., Department of Anatomy, Duke University Medical Center, Durham, North Carolina, United States","Measurements were taken on the upper and lower molars of 37 species of primates and one tupaiid to assess the relative importance of shearing, crushing and grinding features. Significant correlations were found between pairs of allometrically standardized dimensions which measure the same molar function (shearing, crushing, or grinding). Correlations between pairs of dimensions which do not measure the same function are not significant. Second molar adaptations for shearing, crushing, and grinding, as well as the length of the second lower molar, and the total surface of the post‐canine dentition are negatively allometric with respect to metabolic rate. Species which take different proportions of fruit, leaves, and insects in their diets have different molar structure. Frugivores have small teeth for their adult body size with poorly developed shearing, crushing, and grinding features on their molars. By contrast, leaf‐eating species tend to have large teeth for their adult body size with well developed shearing, crushing, and grinding. The second molars of insectivorous species were found to parallel closely those of leaf‐eating species. The two groups are clearly distinguishable from the former on the basis of body size alone: the smallest living primate leaf‐eater is on order of magnitude larger than the largest living primate insectivore. Copyright © 1975 Wiley‐Liss, Inc., A Wiley Company","Feeding adaptations; Mastication; Molar structure; Primates; Teeth","dentition; mastication; molar tooth; monkey; tooth; Adaptation, Physiological; Animal; Biomechanics; Body Weight; Comparative Study; Diet; Energy Metabolism; Haplorhini; Lemur; Mastication; Molar; Odontometry; Primates",Article,"Final",,Scopus,2-s2.0-0016825530
