Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Irish J.D., Scott G.R.","7101847404;7402930537;","A Companion to Dental Anthropology",2015,"A Companion to Dental Anthropology",,,,"1","540",,15,"10.1002/9781118845486",2-s2.0-84955355596
"Scott G.R., Irish J.D.","",[No title available],2013,"Anthropological Perspectives on Tooth Morphology: Genetics, Evolution, Variation",,,,"","",,13,,2-s2.0-84887816887
"Blau S., Ubelaker D.H.","","Handbook of Forensic Anthropology and Archaeology",2009,"Handbook of Forensic Anthropology and Archaeology",,,,"","",,57,,2-s2.0-84870295133
"Scott G.R., Turner C.G., II","","History of Dental Anthropology",2008,"Technique and Application in Dental Anthropology",,,,"10","34",,6,,2-s2.0-84955397206
"Md A.N., Hughes T., James H., Kaidonis J., Khamis M., Townsend G.","",[No title available],2012,"Dental Crown and Arch Size in Europeans and Australian Aboriginals",,,,"","",,1,,2-s2.0-85037539540
"Hanihara T., Ishida H.","7003959650;55437344300;","Metric dental variation of major human populations",2005,"American Journal of Physical Anthropology","128","2",,"287","298",,100,"10.1002/ajpa.20080",2-s2.0-26044457024
"Kato A., Kouchi M., Mochimaru M., Isomura A., Ohno N.","","A geometric morphometric analysis of the crown form of the maxillary central incisor in humans",2011,"Dent. Anthropol.","24","1",,"1","10",,9,,2-s2.0-84913531542
"Lasker G.W., Lee M.M.C.","","Racial traits in human teeth",1957,"J Forensic Sci","2",,,"401","419",,36,,2-s2.0-0039511505
"Goose D.H.","","Dental measurement: An assessment of its value in anthropological studies",1963,"Dental Anthropology",,,,"125","148",,73,,2-s2.0-0005997715
"Kieser J.A.","",[No title available],1990,"Human Adult Odontometrics",,,,"","",,201,,2-s2.0-0003858875
"Howells W.","",[No title available],1968,"The Cranium and Maxillary Dentition of Australopithecus (Zinjanthropus) Boisei","2",,,"","",,1,,2-s2.0-85037522853
"Wolpoff M.H.","",[No title available],1971,"Metric Trends in Hominid Dental Evolution",,,,"","",,103,,2-s2.0-0006116769
"Hillson S., FitzGerald C., Flinn H.","6603814513;8625812600;6506427787;","Alternative dental measurements: Proposals and relationships with other measurements",2005,"American Journal of Physical Anthropology","126","4",,"413","426",,88,"10.1002/ajpa.10430",2-s2.0-15244361522
