Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Saitou N., Nei M.","7005896538;7102222781;","The neighbor-joining method: a new method for reconstructing phylogenetic trees.",1987,"Molecular biology and evolution","4","4",,"406","425",,43558,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023375195&partnerID=40&md5=0266231411e31b134ad87df95b7e0ff4","Center for Demographic and Population Genetics, University of Texas Health Science Center, Houston, 77225., United States","Saitou, N., Center for Demographic and Population Genetics, University of Texas Health Science Center, Houston, 77225., United States; Nei, M., Center for Demographic and Population Genetics, University of Texas Health Science Center, Houston, 77225., United States","A new method called the neighbor-joining method is proposed for reconstructing phylogenetic trees from evolutionary distance data. The principle of this method is to find pairs of operational taxonomic units (OTUs [= neighbors]) that minimize the total branch length at each stage of clustering of OTUs starting with a starlike tree. The branch lengths as well as the topology of a parsimonious tree can quickly be obtained by using this method. Using computer simulation, we studied the efficiency of this method in obtaining the correct unrooted tree in comparison with that of five other tree-making methods: the unweighted pair group method of analysis, Farris's method, Sattath and Tversky's method, Li's method, and Tateno et al.'s modified Farris method. The new, neighbor-joining method and Sattath and Tversky's method are shown to be generally better than the other methods.",,"animal; article; biological model; biometry; evolution; frog; genetics; phylogeny; Animals; Biometry; Evolution; Models, Genetic; Phylogeny; Ranidae",Article,"Final",,Scopus,2-s2.0-0023375195
"Huson D.H., Bryant D.","6604069881;7202225613;","Application of phylogenetic networks in evolutionary studies",2006,"Molecular Biology and Evolution","23","2",,"254","267",,4486,"10.1093/molbev/msj030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30744470609&doi=10.1093%2fmolbev%2fmsj030&partnerID=40&md5=6f3bba57c1cc48d6750219d1b35544bc","Center for Bioinformatics (ZBIT), Tübingen University, Tübingen, Germany; Department of Mathematics, Auckland University, Auckland, New Zealand","Huson, D.H., Center for Bioinformatics (ZBIT), Tübingen University, Tübingen, Germany; Bryant, D., Department of Mathematics, Auckland University, Auckland, New Zealand","The evolutionary history of a set of taxa is usually represented by a phylogenetic tree, and this model has greatly facilitated the discussion and testing of hypotheses. However, it is well known that more complex evolutionary scenarios are poorly described by such models. Further, even when evolution proceeds in a tree-like manner, analysis of the data may not be best served by using methods that enforce a tree structure but rather by a richer visualization of the data to evaluate its properties, at least as an essential first step. Thus, phylogenetic networks should be employed when reticulate events such as hybridization, horizontal gene transfer, recombination, or gene duplication and loss are believed to be involved, and, even in the absence of such events, phylogenetic networks have a useful role to play. This article reviews the terminology used for phylogenetic networks and covers both split networks and reticulate networks, how they are defined, and how they can be interpreted. Additionally, the article outlines the beginnings of a comprehensive statistical framework for applying split network methods. We show how split networks can represent confidence sets of trees and introduce a conservative statistical test for whether the conflicting signal in a network is treelike. Finally, this article describes a new program, SplitsTree4, an interactive and comprehensive tool for inferring different types of phylogenetic networks from sequences, distances, and trees. © The Author 2005. Published by Oxford University Press on behalf of the Society for Molecular Biology and Evolution. All rights reserved.","Confidence intervals; Networks; Phylogeny; Software","evolution; gene duplication; genetic recombination; horizontal gene transfer; hybridization; phylogenetic tree; phylogeny; review; Animals; Evolution, Molecular; Models, Genetic; Phylogeny",Review,"Final",Open Access,Scopus,2-s2.0-30744470609
"Thioulouse J., Chessel D., Dolédec S., Olivier J.-M.","7004052362;6701320483;6701413555;7103215287;","ADE-4: A multivariate analysis and graphical display software",1997,"Statistics and Computing","7","1",,"75","83",,1342,"10.1023/A:1018513530268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001878986&doi=10.1023%2fA%3a1018513530268&partnerID=40&md5=8b18e8c35c2468f4b91585755b7a72f3","Lab. Biometrie, Genet. Biol. P., UMR CNRS 5558, Université Lyon 1, 69622 Villeurbanne Cedex, France; Lab. d'Ecologie Eaux Douces G., ESA CNRS 5023, Université Lyon 1, 69622 Villeurbanne Cedex, France","Thioulouse, J., Lab. Biometrie, Genet. Biol. P., UMR CNRS 5558, Université Lyon 1, 69622 Villeurbanne Cedex, France; Chessel, D.; Dolédec, S.; Olivier, J.-M., Lab. d'Ecologie Eaux Douces G., ESA CNRS 5023, Université Lyon 1, 69622 Villeurbanne Cedex, France","We present ADE-4, a multivariate analysis and graphical display software. Multivariate analysis methods available in ADE-4 include usual one-table methods like principal component analysis and correspondence analysis, spatial data analysis methods (using a total variance decomposition into local and global components, analogous to Moran and Geary indices), discriminant analysis and within/between groups analyses, many linear regression methods including lowess and polynomial regression, multiple and PLS (partial least squares) regression and orthogonal regression (principal component regression), projection methods like principal component analysis on instrumental variables, canonical correspondence analysis and many other variants, coinertia analysis and the RLQ method, and several three-way table (k-table) analysis methods. Graphical display techniques include an automatic collection of elementary graphics corresponding to groups of rows or to columns in the data table, thus providing a very efficient way for automatic k-table graphics and geographical mapping options. A dynamic graphic module allows interactive operations like searching, zooming, selection of points, and display of data values on factor maps. The user interface is simple and homogeneous among all the programs; this contributes to making the use of ADE-4 very easy for non-specialists in statistics, data analysis or computer science.","Canonical correspondence analysis; Coinertia analysis; Correspondence analysis; Graphics; Instrumental variables; Interactive graphics; Macintosh; Multivariate analysis; Multivariate graphics; Partial least squares regression; Principal component analysis",,Article,"Final",,Scopus,2-s2.0-0001878986
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031107378&doi=10.1016%2fS1361-8415%2897%2985012-8&partnerID=40&md5=13e7bb81c1f834c67647b53d0eefa883","Institute of Gerontology, University of Michigan, 300 North Ingalls Building, Ann Arbor, MI 48109-2007, United States","Bookstein, F.L., Institute of Gerontology, University of Michigan, 300 North Ingalls Building, Ann Arbor, MI 48109-2007, United States","Morphometrics, a new branch of statistics, combines tools from geometry, computer graphics and biometrics in techniques for the multivariate analysis of biological shape variation. Although medical image analysts typically prefer to represent scenes by way of curving outlines or surfaces, the most recent developments in this associated statistical methodology have emphasized the domain of landmark data: size and shape of configurations of discrete, named points in two or three dimensions. This paper introduces a combination of Procrustes analysis and thin-plate splines, the two most powerful tools of landmark-based morphometrics, for multivariate analysis of curving outlines in samples of biomedical images. The thin-plate spline is used to assign point-to-point correspondences, called semi-landmarks, between curves of similar but variable shape, while the standard algorithm for Procrustes shape averages and shape coordinates is altered to accord with the ways in which semi-landmarks formally differ from more traditional landmark loci. Subsequent multivariate statistics and visualization proceed mainly as in the landmark-based methods. The combination provides a range of complementary filters, from high pass to low pass, for effects on outline shape in grouped studies. The low-pass version is based on the spectrum of the spline, the high pass, on a familiar special case of Procrustes analysis. This hybrid method is demonstrated in a comparison of the shape of the corpus callosum from mid-sagittal sections of MRI of 25 human brains, 12 normal and 13 with schizophrenia.","Morphometrics; Multivariate analysis; Outlines; Procrustes analysis; Thin-plate spline","algorithm; article; corpus callosum; histology; human; image processing; methodology; multivariate analysis; nuclear magnetic resonance imaging; pathology; schizophrenia; statistics; Algorithms; Corpus Callosum; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Multivariate Analysis; Schizophrenia",Article,"Final",,Scopus,2-s2.0-0031107378
"Andrews P.","",[No title available],1990,"Owls, Caves and Fossils",,,,"","",,916,,,,"Andrews, P.",[No abstract available],,,,,,Scopus,2-s2.0-0003481581
"Ripley B.D.","",[No title available],1996,"Pattern Recognition and Neural Networks",,,,"","",,590,,,,"Ripley, B.D.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0003480124
"Mitteroecker P., Bookstein F.","6507135382;7004606384;","Linear Discrimination, Ordination, and the Visualization of Selection Gradients in Modern Morphometrics",2011,"Evolutionary Biology","38","1",,"100","114",,258,"10.1007/s11692-011-9109-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952312407&doi=10.1007%2fs11692-011-9109-8&partnerID=40&md5=a203885ed176c161d1e98b742aeefbfc","Department of Theoretical Biology, University of Vienna, Althanstrasse 14, 1091 Vienna, Austria; Department of Anthropology, University of Vienna, Althanstrasse 14, 1091 Vienna, Austria; Department of Statistics, University of Washington, Padelford B-207, Seattle, WA 98195-4322, United States","Mitteroecker, P., Department of Theoretical Biology, University of Vienna, Althanstrasse 14, 1091 Vienna, Austria; Bookstein, F., Department of Anthropology, University of Vienna, Althanstrasse 14, 1091 Vienna, Austria, Department of Statistics, University of Washington, Padelford B-207, Seattle, WA 98195-4322, United States","Linear discriminant analysis (LDA) is a multivariate classification technique frequently applied to morphometric data in various biomedical disciplines. Canonical variate analysis (CVA), the generalization of LDA for multiple groups, is often used in the exploratory style of an ordination technique (a low-dimensional representation of the data). In the rare case when all groups have the same covariance matrix, maximum likelihood classification can be based on these linear functions. Both LDA and CVA require full-rank covariance matrices, which is usually not the case in modern morphometrics. When the number of variables is close to the number of individuals, groups appear separated in a CVA plot even if they are samples from the same population. Hence, reliable classification and assessment of group separation require many more organisms than variables. A simple alternative to CVA is the projection of the data onto the principal components of the group averages (between-group PCA). In contrast to CVA, these axes are orthogonal and can be computed even when the data are not of full rank, such as for Procrustes shape coordinates arising in samples of any size, and when covariance matrices are heterogeneous. In evolutionary quantitative genetics, the selection gradient is identical to the coefficient vector of a linear discriminant function between the populations before vs. after selection. When the measured variables are Procrustes shape coordinates, discriminant functions and selection gradients are vectors in shape space and can be visualized as shape deformations. Except for applications in quantitative genetics and in classification, however, discriminant functions typically offer no interpretation as biological factors. © 2011 Springer Science+Business Media, LLC.","Canonical variate analysis; Linear discriminant function; Ordination; Principal component analysis; Procrustes; Selection gradient",,Article,"Final",,Scopus,2-s2.0-79952312407
"MORRIS P.","7402150799;","A review of mammalian age determination methods",1972,"Mammal Review","2","3",,"69","104",,245,"10.1111/j.1365-2907.1972.tb00160.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981426964&doi=10.1111%2fj.1365-2907.1972.tb00160.x&partnerID=40&md5=c9eb1c09a59bb3d1ef0a9740336792b3","Zoology Department, Royal Holloway College, Egham, Surrey, United Kingdom","MORRIS, P., Zoology Department, Royal Holloway College, Egham, Surrey, United Kingdom",[No abstract available],,,Article,"Final",,Scopus,2-s2.0-84981426964
"Niethammer J., Krapp F.","",[No title available],1978,"Handbuch der Säugetiere Europas",,,,"","",,227,,,,"Niethammer, J.; Krapp, F.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0004135242
"Kryštufek B., Vohralík V.","",[No title available],2001,"Mammals of Turkey and Cyprus",,,,"","",,214,,,,"Kryštufek, B.; Vohralík, V.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0004228388
