Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Rohlf F.J., Slice D.","7003281107;6603334019;","Extensions of the procrustes method for the optimal superimposition of landmarks",1990,"Systematic Zoology","39","1",,"40","59",,2394,"10.2307/2992207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860428591&doi=10.2307%2f2992207&partnerID=40&md5=74ce7a85fe27c8da218b0b8e0fbb6d49","Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Rohlf, F.J., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States; Slice, D., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Superimposition methods for comparing configurations of landmarks in two or more specimens are reviewed. These methods show differences in shape among specimens as residuals after rotation, translation, and scaling them so that they align as well as possible. A new method is presented that generalizes Siegel and Benson's (1982) resistant-fit theta-rho analysis so that more than two objects can be compared at the same time. Both least-squares and resistant-fit approaches are generalized to allow for affine transformations (uniform shape change). The methods are compared, using artificial data and data on 18 landmarks on the wings of 127 species of North American mosquitoes. Graphical techniques are also presented to help summarize the patterns of differences in shape among the objects being compared. © 1990 Society of Systematic Zoology.",,,Article,"Final",,Scopus,2-s2.0-84860428591
"Voris H.K.","7003637127;","Maps of Pleistocene sea levels in Southeast Asia: Shorelines, river systems and time durations",2000,"Journal of Biogeography","27","5",,"1153","1167",,1162,"10.1046/j.1365-2699.2000.00489.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034492377&doi=10.1046%2fj.1365-2699.2000.00489.x&partnerID=40&md5=fbf81392ae0baf8c7b82894552379d46","Field Museum of Natural History, Chicago, IL, United States; Department of Zoology, Field Museum of Natural History, 1400 S. Lake Shore Drive, Chicago, IL 60605-2496, United States","Voris, H.K., Field Museum of Natural History, Chicago, IL, United States, Department of Zoology, Field Museum of Natural History, 1400 S. Lake Shore Drive, Chicago, IL 60605-2496, United States","Aim: Glaciation and deglaciation and the accompanying lowering and rising of sea levels during the late Pleistocene are known to have greatly affected land mass configurations in Southeast Asia. The objective of this report is to provide a series of maps that estimate the areas of exposed land in the Indo-Australian region during periods of the Pleistocene when sea levels were below present day levels. Location: The maps presented here cover tropical Southeast Asia and Austral-Asia. The east-west coverage extends 8000 km from Australia to Sri Lanka. The north-south coverage extends 5000 km from Taiwan to Australia. Methods: Present-day bathymetric depth contours were used to estimate past shore lines and the locations of the major drowned river systems of the Sunda and Sahul shelves. The timing of sea level changes associated with glaciation over the past 250,000 years was taken from multiple sources that, in some cases, account for tectonic uplift and subsidence during the period in question. Results: This report provides a series of maps that estimate the areas of exposed land in the Indo-Australian region during periods of 17,000, 150,000 and 250,000 years before present. The ancient shorelines are based on present day depth contours of 10, 20, 30, 40, 50, 75, 100 and 120 m. On the maps depicting shorelines at 75, 100 and 120 m below present levels the major Pleistocene river systems of the Sunda and Sahul shelves are depicted. Estimates of the number of major sea level fluctuation events and the duration of time that sea levels were at or below the illustrated level are provided. Main conclusions: Previous reconstructions of sea-level change during the Pleistocene have emphasized the maximum lows. The perspective provided here emphasizes that sea levels were at their maximum lows for relatively short periods of time but were at or below intermediate levels (e.g. at or below 40 m below present-day levels) for more than half of each of the time periods considered.","Biogeography; Maps; Palaeogeography; Pleistocene; Sea levels; Southeast Asia","deglaciation; glaciation; Pleistocene; river system; sea level change; shoreline change; timescale; Asia",Article,"Final",,Scopus,2-s2.0-0034492377
"Kirch P.V.","",[No title available],2000,"On the Road of the Winds: An Archaeological History of the Pacific Islands Before European Contact",,,,"","",,604,,,,"Kirch, P.V.",[No abstract available],,,,,,Scopus,2-s2.0-0003546020
"Rohlf F.J.","7003281107;","Shape statistics: Procrustes superimpositions and tangent spaces",1999,"Journal of Classification","16","2",,"197","223",,537,"10.1007/s003579900054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033235691&doi=10.1007%2fs003579900054&partnerID=40&md5=afe1b218ad4917ce57cf2dee9936bc68","State University of New York, Stony Brook, NY, United States; Department of Ecology and Evolution, State University of New York, Stony Brook, NY 11794-5245, United States","Rohlf, F.J., State University of New York, Stony Brook, NY, United States, Department of Ecology and Evolution, State University of New York, Stony Brook, NY 11794-5245, United States","The shape of a set of labeled points corresponds to those attributes of the configuration that are invariant to the effects of translation, rotation, and scale. Procrustes distance may be used to compare different shapes and also serve as a metric that may be used to define multidimensional shape spaces. This paper demonstrates that the preshape space of planar triangles Procrustes aligned to a reference triangle corresponds to a unit hemisphere. An overview of methods used as linear approximations of D. G. Kendall's non-Euclidean shape space is given, and the equivalence of several methods based on orthogonal projections is shown. Some problems with approximations based on stereographic projections are also discussed. A simple example using artificial data is included.","Kendall shape space; Multivariate analysis; Partial warps; Preshape space; Tangent space",,Article,"Final",,Scopus,2-s2.0-0033235691
"Bowler J.M., Johnston H., Olley J.M., Prescott J.R., Roberts R.G., Shawcross W., Spooner N.A.","24438914900;7102624140;7005401169;7102196842;7404281684;57190925341;7005922148;","New ages for human occupation and climatic change at Lake Mungo, Australia",2003,"Nature","421","6925",,"837","840",,448,"10.1038/nature01383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037456388&doi=10.1038%2fnature01383&partnerID=40&md5=c0701f2e4e984be397deeef69b439d5c","School of Earth Sciences, University of Melbourne, Melbourne, Vic. 3010, Australia; NSW Natl. Parks and Wildlife Service, Buronga, NSW 2739, Australia; CSIRO Land and Water, Canberra, ACT 2601, Australia; Department of Physics, University of Adelaide, Adelaide, SA 5005, Australia; School of Geosciences, University of Wollongong, Wollongong, NSW 2522, Australia; 25 Fairfax Street, Canberra, ACT 2602, Australia; Research School of Earth Sciences, Australian National University, Canberra, ACT 0200, Australia; DSTO, Edinburgh, SA 5111, Australia","Bowler, J.M., School of Earth Sciences, University of Melbourne, Melbourne, Vic. 3010, Australia; Johnston, H., NSW Natl. Parks and Wildlife Service, Buronga, NSW 2739, Australia; Olley, J.M., CSIRO Land and Water, Canberra, ACT 2601, Australia; Prescott, J.R., Department of Physics, University of Adelaide, Adelaide, SA 5005, Australia; Roberts, R.G., School of Geosciences, University of Wollongong, Wollongong, NSW 2522, Australia; Shawcross, W., 25 Fairfax Street, Canberra, ACT 2602, Australia; Spooner, N.A., Research School of Earth Sciences, Australian National University, Canberra, ACT 0200, Australia, DSTO, Edinburgh, SA 5111, Australia","Australia's oldest human remains, found at Lake Mungo, include the world's oldest ritual ochre burial (Mungo III) and the first recorded cremation (Mungo I). Until now, the importance of these finds has been constrained by limited chronologies and palaeoenvironmental information. Mungo III, the source of the world's oldest human mitochondrial DNA, has been variously estimated at 30 thousand years (kyr) old, 42-45 kyr old and 62 ± 6 kyr old, while radiocarbon estimates placed the Mungo I cremation near 20-26 kyr ago. Here we report a new series of 25 optical ages showing that both burials occurred at 40 ± 2 kyr ago and that humans were present at Lake Mungo by 50-46 kyr ago, synchronously with, or soon after, initial occupation of northern and western Australia. Stratigraphic evidence indicates fluctuations between lake-full and drier conditions from 50 to 40kyr ago, simultaneously with increased dust deposition, human arrival and continent-wide extinction of the megafauna. This was followed by sustained aridity between 40 and 30 kyr ago. This new chronology corrects previous estimates for human burials at this important site and provides a new picture of Homo sapiens adapting to deteriorating climate in the world's driest inhabited continent.",,"DNA; Ecology; Radioisotopes; Stratigraphy; Palaeoenvironmental informations; Climate change; mitochondrial DNA; climate change; human settlement; paleoclimate; paleoenvironment; Quaternary; radiocarbon dating; article; Australia; chronology; climate; dust; fauna; human; occupation; paleoenvironment; posthumous care; priority journal; stratigraphy; Adaptation, Physiological; Animals; Archaeology; Burial; Climate; Culture; Emigration and Immigration; Evolution; Fresh Water; Hominidae; Humans; Natural Disasters; New South Wales; Time Factors; Australia; Homo; Homo sapiens",Article,"Final",,Scopus,2-s2.0-0037456388
"Gagan M.K., Ayliffe L.K., Beck J.W., Cole J.E., Druffel E.R.M., Dunbar R.B., Schrag D.P.","7004000431;6603692111;7403531971;7403376169;7006170129;7101720549;7005173878;","New views of tropical paleoclimates from corals",2000,"Quaternary Science Reviews","19","1-5",,"45","64",,330,"10.1016/S0277-3791(99)00054-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033985826&doi=10.1016%2fS0277-3791%2899%2900054-2&partnerID=40&md5=3d6994efaa85c2e7104f44f13803a797","Research School of Earth Sciences, Australian National University, Canberra, ACT 0200, Australia; NSF AMS Facility, Department of Physics, University of Arizona, Tucson, AZ 85721, United States; Dept. of Geological Sciences/INSTAAR, Box 450, University of Colorado, Boulder, CO 80309, United States; Department of Earth System Science, University of California, Irvine, CA 92697-3100, United States; Dept. of Geol. and Environ. Sciences, Stanford University, Stanford, CA 94305, United States; Dept. of Earth and Planet. Sciences, Harvard University, Cambridge, MA 02138, United States","Gagan, M.K., Research School of Earth Sciences, Australian National University, Canberra, ACT 0200, Australia; Ayliffe, L.K., Research School of Earth Sciences, Australian National University, Canberra, ACT 0200, Australia; Beck, J.W., NSF AMS Facility, Department of Physics, University of Arizona, Tucson, AZ 85721, United States; Cole, J.E., Dept. of Geological Sciences/INSTAAR, Box 450, University of Colorado, Boulder, CO 80309, United States; Druffel, E.R.M., Department of Earth System Science, University of California, Irvine, CA 92697-3100, United States; Dunbar, R.B., Dept. of Geol. and Environ. Sciences, Stanford University, Stanford, CA 94305, United States; Schrag, D.P., Dept. of Earth and Planet. Sciences, Harvard University, Cambridge, MA 02138, United States","Corals offer a rich archive of past climate variability in tropical ocean regions where instrumental data are limited and where our knowledge of multi-decadal climate sensitivity is incomplete. In the eastern equatorial Pacific, coral isotopic records track variations in ENSO-related changes in sea-surface temperature; further west, corals record variability in sea-surface temperature and rainfall that accompanies zonal displacement of the Indonesian Low during ENSO events. These multi-century records reveal previously unrecognised ENSO variability on time scales of decades to centuries. Outside the ENSO-sensitive equatorial Pacific, long-term trends towards recent warmer/wetter conditions suggest the tropics respond to global forcings. New coral paleothermometers indicate that surface-ocean temperatures in the tropical southwestern Pacific were depressed by 4-6°C during the Younger Dryas climatic event and rose episodically during the next 4000 yr. High temporal-resolution measurements of Sr/Ca and δ18O in corals provide information about the surface-ocean hydrologic balance and can resolve the seasonal balance between precipitation and evaporation. Radiocarbon measurements in corals, coupled with ocean circulation models, may be used to reconstruct near-surface ocean circulation, past mixing rates, and the distribution of fossil fuel CO2 in the upper ocean. Most recently, seasonal to interannual variations in the radiocarbon of corals from the equatorial Pacific have been linked to the redistribution of surface waters associated with the ENSO.",,"coral record; paleoclimate; tropical environment; Pacific Ocean",Conference Paper,"Final",,Scopus,2-s2.0-0033985826
"Roberts R.G., Jones R., Smith M.A.","7404281684;55493289700;56170625300;","Thermoluminescence dating of a 50,000-year-old human occupation site in northern Australia",1990,"Nature","345","6271",,"153","156",,317,"10.1038/345153a0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025103688&doi=10.1038%2f345153a0&partnerID=40&md5=4ada34b441eda393db4cf0792d09759f","Department of Geography, University of Wollongong, Wollongong, Australia; Department of Prehistory, Australian National University, Canberra, Australia","Roberts, R.G., Department of Geography, University of Wollongong, Wollongong, Australia; Jones, R., Department of Prehistory, Australian National University, Canberra, Australia; Smith, M.A., Department of Prehistory, Australian National University, Canberra, Australia","THE oldest secure date for human occupation in Greater Australia is 40kyr from eastern Papua New Guinea1, whereas slightly younger dates have been reported from southern Australia2. We now report thermoluminescence (TL) dates that suggest the arrival of people between 50 and 60 kyr in northern Australia. TL dates were obtained from sandy footslope deposits at two former occupation sites that yielded a range of stone artefacts in their primary depositional setting. Artefacts terminated mid-way down one profile, which had a basal age of about 100 kyr. Confidence in the TL dates is given by their close correspondence with radiocarbon dates obtained from the upper occupation levels. These TL dates are not only the oldest yet proposed for Aboriginal occupation but also may mark the time of initial human arrival on the Australian continent. © 1990 Nature Publishing Group.",,"Aboriginal occupation; dating; human occupation; stone artefact; thermoluminescence; Australia",Article,"Final",,Scopus,2-s2.0-0025103688
"O'Connell J.F., Allen J.","7202443633;55477883800;","Dating the colonization of Sahul (Pleistocene Australia-New Guinea): A review of recent research",2004,"Journal of Archaeological Science","31","6",,"835","853",,279,"10.1016/j.jas.2003.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1942424250&doi=10.1016%2fj.jas.2003.11.005&partnerID=40&md5=deaa74dfdd6a86f3e2c4f667a56d3d0d","Department of Anthropology, University of Utah, 270 South 1400 East, Salt Lake City, UT 84112, United States; Archaeology Program, School of Historical/European Studs., La Trobe University, Bundoora, VIC 3086, Australia","O'Connell, J.F., Department of Anthropology, University of Utah, 270 South 1400 East, Salt Lake City, UT 84112, United States; Allen, J., Archaeology Program, School of Historical/European Studs., La Trobe University, Bundoora, VIC 3086, Australia","The date for the initial colonization of Sahul is a key benchmark in human history and the topic of a long-running debate. Most analysts favor either a 40,000 BP or 60,000 BP arrival time, though some have proposed a much earlier date. Here we review data from more than 30 archaeological sites with basal ages >20,000 years reported since 1993, giving special attention to five sites with purported ages >45,000 years. We conclude that while the continent was probably occupied by 42-45,000 BP, earlier arrival dates are not well-supported. This observation undercuts claims for modern human migrations out of Africa and beyond the Levant before 50,000 BP. It also has critical but not yet conclusive implications for arguments about a human role in the extinction of Sahul megafauna. © 2003 Elsevier Ltd. All rights reserved.","Dating in archaeology; Early colonization of Australia; Modern human origins","archaeological evidence; colonization; dating method; migration; radiocarbon dating; Asia; Australasia; Australia; Eurasia; Malay Archipelago; New Guinea; Southeast Asia",Review,"Final",,Scopus,2-s2.0-1942424250
"Thorne A., Grün R., Mortimer G., Spooner N.A., Simpson J.J., McCulloch M., Taylor L., Curnoe D.","7006115162;7005143323;7004967005;7005922148;35376784400;7102869538;7402701298;6602541175;","Australia's oldest human remains: Age of the Lake Mungo 3 skeleton",1999,"Journal of Human Evolution","36","6",,"591","612",,247,"10.1006/jhev.1999.0305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033150554&doi=10.1006%2fjhev.1999.0305&partnerID=40&md5=8e0d55e55e5480d2fa72696856251e38","Res. Sch. of Pac./Asian Studs., Australian National University, Canberra ACT 0200, Australia; Research School of Earth Sciences, Australian National University, Canberra ACT 0200, Australia; Department of Physics, University of Guelph, Guelph, ONT N1G 2W1, Canada","Thorne, A., Res. Sch. of Pac./Asian Studs., Australian National University, Canberra ACT 0200, Australia; Grün, R., Research School of Earth Sciences, Australian National University, Canberra ACT 0200, Australia; Mortimer, G., Research School of Earth Sciences, Australian National University, Canberra ACT 0200, Australia; Spooner, N.A., Research School of Earth Sciences, Australian National University, Canberra ACT 0200, Australia; Simpson, J.J., Department of Physics, University of Guelph, Guelph, ONT N1G 2W1, Canada; McCulloch, M., Research School of Earth Sciences, Australian National University, Canberra ACT 0200, Australia; Taylor, L., Research School of Earth Sciences, Australian National University, Canberra ACT 0200, Australia; Curnoe, D., Res. Sch. of Pac./Asian Studs., Australian National University, Canberra ACT 0200, Australia","We have carried out a comprehensive ESR and U-series dating study on the Lake Mungo 3 (LM3) human skeleton. The isotopic Th/U and Pa/U ratios indicate that some minor uranium mobilization may have occurred in the past. Taking such effects into account, the best age estimate for the human skeleton is obtained through the combination of U-series and ESR analyses yielding 62,000 ± 6000 years. This age is in close agreement with OSL age estimates on the sediment into which the skeleton was buried of 61,000 ± 2000 years. Furthermore, we obtained a U-series age of 81,000 ± 21,000 years for the calcitic matrix that was precipitated on the bones after burial. All age results are considerably older than the previously assumed age of LM3 and demonstrate the necessity for directly dating hominid remains. We conclude that the Lake Mungo 3 burial documents the earliest known human presence on the Australian continent. The age implies that people who were skeletally within the range of the present Australian indigenous population colonized the continent during or before oxygen isotope stage 4 (57,000-71,000 years).","ESR; Lake Mungo 3; OSL dating; U-series","electron spin resonance dating; uranium series dating; Australia; Lake Mungo; New South Wales; Homo sapiens",Article,"Final",,Scopus,2-s2.0-0033150554
"Lahr M.M.","",[No title available],1996,"The Evolution of Modern Human Diversity: A Study of Cranial Variation",,,,"","",,240,,,,"Lahr, M.M.",[No abstract available],,,,,,Scopus,2-s2.0-0004061183
