Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Binford L.R.","",[No title available],1981,"Bones: Ancient Men and Modern Myths",,,,"","",,1763,,,,"Binford, L.R.",[No abstract available],,,,,,Scopus,2-s2.0-0003747768
"Brain C.K.","",[No title available],1981,"The Hunters or the Hunted? An Introduction to African Cave Taphonomy",,,,"","",,1270,,,,"Brain, C.K.",[No abstract available],,,,,,Scopus,2-s2.0-0003560905
"Shipman P.","",[No title available],1981,"Life History of a Fossil: An Introduction to Taphonomy and Paleoecology",,,,"","",,433,,,,"Shipman, P.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0003545416
"Bunn H.T., Kroll E.M.","","Systematic butchery by Plio-Pleistocene hominids at Olduvai Gorge, Tanzania",1986,"Current Anthropology","27","5",,"431","452",,429,,,,"Bunn, H.T.; Kroll, E.M.",[No abstract available],,,,,,Scopus,2-s2.0-0000320373
"Potts R., Shipman P.","7101638880;7004475336;","Cutmarks made by stone tools on bones from Olduvai Gorge, Tanzania",1981,"Nature","291","5816",,"577","580",,373,"10.1038/291577a0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001004708&doi=10.1038%2f291577a0&partnerID=40&md5=7aaa7fc89d86f57bb6cbc276b95cb222","Department of Anthropology, Harvard University, Cambridge, MA 02138, United States; Departments of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD 21218, United States","Potts, R., Department of Anthropology, Harvard University, Cambridge, MA 02138, United States; Shipman, P., Departments of Earth and Planetary Sciences, Johns Hopkins University, Baltimore, MD 21218, United States","Fossils from Olduvai Gorge, Tanzania, show cutmarks which establish that hominids were using stone tools on animal tissues during the Lower Pleistocene in Africa. We identified cutmarks by elimination of other likely causes of the marks on the bone surfaces, for example, gnawing or chewing by carnivores or rodents, and damage made by tools of excavators or preparators. This was achieved by comparing the marks on the fossils with those produced by known causes on modern bones, using scanning electron microscopy (SEM). Because the fossils occur as part of accumulations of animal remains in relatively undisturbed geological contexts, we conclude that there is a functional association between the stone artefacts and bones at these sites, rather than an accidental, postmortem association1,2. © 1981 Nature Publishing Group.",,,Article,"Final",,Scopus,2-s2.0-0001004708
"Bunn H.T.","7103073015;","Archaeological evidence for meat-eating by Plio-Pleistocene hominids from Koobi Fora and Olduvai Gorge",1981,"Nature","291","5816",,"574","577",,354,"10.1038/291574a0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001118216&doi=10.1038%2f291574a0&partnerID=40&md5=b7277b97db73d68e863a9ba66af52d14","Department of Anthropology, University of California, Berkeley, CA 94720, United States","Bunn, H.T., Department of Anthropology, University of California, Berkeley, CA 94720, United States","The importance of meat-eating in human evolution has long been a controversial subject1-4. The best available evidence of hominid activities between 2 and 1.5 Myr ago is the archaeological record from two East African localities, Olduvai Gorge5, Tanzania, and Koobi Fora 6, Kenya, which consists of scattered stone artefacts and fragmentary animal bones. The question7,8 of functional association between juxtaposed artefacts and bones would be largely settled if hominid-induced modifications were present on some bones. Comparative analyses of archaeological bone assemblages from Olduvai Gorge and Koobi Fora and of various modern bone assemblages with known taphonomic histories reveal direct evidence of early hominid butchering and marrow-processing activities. © 1981 Nature Publishing Group.",,,Article,"Final",,Scopus,2-s2.0-0001118216
"Gifford D.P.","","Taphonomy and paleoecology: A critical review of archaeology's sister disciplines",1981,"Advances in Archaeological Method and Theory","4",,,"365","438",,187,,,,"Gifford, D.P.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0001113810
"Blumenschine R.J.","","Early Hominid Scavenging Opportunities: Implications of Carcass Availability in the Serengeti and Ngorongoro Ecosystems",1986,"Early Hominid Scavenging Opportunities: Implications of Carcass Availability in the Serengeti and Ngorongoro Ecosystems",,,,"","",,170,,,,"Blumenschine, R.J.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0004115384
"Gordon C.C., Buikstra J.E.","57213763065;6701752370;","Soil pH, Bone Preservation, and Sampling Bias at Mortuary Sites",1981,"American Antiquity","46","3",,"566","571",,153,"10.2307/280601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976080846&doi=10.2307%2f280601&partnerID=40&md5=c4f38449416a7393cc46e4aa6ac8b20c","Department of Anthropology, Northwestern University, Evanston, IL  60201, United States","Gordon, C.C., Department of Anthropology, Northwestern University, Evanston, IL  60201, United States; Buikstra, J.E., Department of Anthropology, Northwestern University, Evanston, IL  60201, United States","Prediction of human skeletal preservation at mortuary sites is important in archaeological research and in cultural resources management. In this study, correlations between osseous deterioration and soil acidity, as measured by pH, were found to be significant. Age-associated preservation biases were also evident. The use of multiple regression is suggested as a technique for estimating recovery of human osteological remains in archaeological context. © 1981 Society for American Archaeology.",,,Review,"Final",,Scopus,2-s2.0-84976080846
"Bello S.M., Soligo C.","10139236300;55853593700;","A new method for the quantitative analysis of cutmark micromorphology",2008,"Journal of Archaeological Science","35","6",,"1542","1552",,133,"10.1016/j.jas.2007.10.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-41949102484&doi=10.1016%2fj.jas.2007.10.018&partnerID=40&md5=e4c277a59d6686e3a0b9e2071f36597c","Department of Palaeontology, The Natural History Museum, Cromwell Road, London, SW7 5BD, United Kingdom; Department of Anthropology, UCL, London, United Kingdom","Bello, S.M., Department of Palaeontology, The Natural History Museum, Cromwell Road, London, SW7 5BD, United Kingdom; Soligo, C., Department of Anthropology, UCL, London, United Kingdom","Cutmarks found on the fossilised bones of butchered animals provide direct evidence for the procurement of meat through technological means. As such, they hold some of the oldest available information on cognitive ability and behaviour in human evolution. Here we present a new method that allows a three-dimensional reconstruction of cutmark morphology and the quantification of profile parameters. We have tested this new technique on cutmarks that were experimentally inflicted on a pig rib using a steel knife and an un-retouched flint flake at different angles. The method allows for the cross-sectional shape, the sharpness and depths of the resulting cutmarks to be quantified. The data show that knife mark sections are characterised by a V-shape or √-shape depending on the inclination of the knife. Cutmarks produced with the flint flake were less clearly defined and generally less sharp than those produced by the knife. We discuss the method's potential to provide new information on butchery technique and cognitive abilities developed by the human lineage, from the earliest tool-using hominins through to modern Homo sapiens. © 2007 Elsevier Ltd. All rights reserved.","butchery techniques; cutmarks; hominins; three-dimensional analysis","experimental study; fossil; hominid; micromorphology; quantitative analysis; Animalia; Homo sapiens; Suidae",Article,"Final",,Scopus,2-s2.0-41949102484
