Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Hartigan J.A., Wong M.A.","","A k-means clustering algorithm",1979,"Applied Statistics","28",,,"100","108",,6341,,,,"Hartigan, J.A.; Wong, M.A.",[No abstract available],,,,,,Scopus,2-s2.0-0001138328
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3980,,,,"Bookstein, F.L.",[No abstract available],,,,,,Scopus,2-s2.0-0003597817
"Dryden I.L., Mardia K.V.","",[No title available],1998,"Statistical Shape Analysis",,,,"","",,2639,,,,"Dryden, I.L.; Mardia, K.V.",[No abstract available],,,,,,Scopus,2-s2.0-0003489720
"Rohlf F.J., Slice D.","7003281107;6603334019;","Extensions of the procrustes method for the optimal superimposition of landmarks",1990,"Systematic Zoology","39","1",,"40","59",,2394,"10.2307/2992207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860428591&doi=10.2307%2f2992207&partnerID=40&md5=74ce7a85fe27c8da218b0b8e0fbb6d49","Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Rohlf, F.J., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States; Slice, D., Department of Ecology and Evolution, State University of New York at Stony Brook, Stony Brook, NY, 11794-5245, United States","Superimposition methods for comparing configurations of landmarks in two or more specimens are reviewed. These methods show differences in shape among specimens as residuals after rotation, translation, and scaling them so that they align as well as possible. A new method is presented that generalizes Siegel and Benson's (1982) resistant-fit theta-rho analysis so that more than two objects can be compared at the same time. Both least-squares and resistant-fit approaches are generalized to allow for affine transformations (uniform shape change). The methods are compared, using artificial data and data on 18 landmarks on the wings of 127 species of North American mosquitoes. Graphical techniques are also presented to help summarize the patterns of differences in shape among the objects being compared. © 1990 Society of Systematic Zoology.",,,Article,"Final",,Scopus,2-s2.0-84860428591
"Ubelaker D.H.","",[No title available],1989,"Human Skeletal Remains: Excavation, Analysis, Interpretation",,,,"","",,1335,,,,"Ubelaker, D.H.",[No abstract available],,,,,,Scopus,2-s2.0-0004017286
"Scheuer L., Black S.","",[No title available],2000,"Developmental Juvenile Osteology",,,,"","",,1288,,,,"Scheuer, L.; Black, S.",[No abstract available],,,,,,Scopus,2-s2.0-0004177176
"Moorrees C.F.A., Fanning E.A., Hunt E.E., Jr.","7003538229;7004580977;35282440600;","Age Variation of Formation Stages for Ten Permanent Teeth",1963,"Journal of Dental Research","42","6",,"1490","1502",,1182,"10.1177/00220345630420062701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75449132299&doi=10.1177%2f00220345630420062701&partnerID=40&md5=a6f034dabf2d0964ca050dbbfc4622c6","Forsyth Dental Infirmary-Harvard School of Dental Medicine, Boston, Massachusetts, United States","Moorrees, C.F.A., Forsyth Dental Infirmary-Harvard School of Dental Medicine, Boston, Massachusetts, United States; Fanning, E.A., Forsyth Dental Infirmary-Harvard School of Dental Medicine, Boston, Massachusetts, United States; Hunt, E.E., Jr., Forsyth Dental Infirmary-Harvard School of Dental Medicine, Boston, Massachusetts, United States","The chronology of the formation of the permanent mandibular posterior (C-M3) teeth and the later stages of the permanent maxillary and mandibular incisors was determined and presented in graphic form. The charts were designed specifically for determining the dental maturation of an individual child for each tooth separately. © 1963, SAGE Publications. All rights reserved.",,"aging; article; child; dentition; growth; infant; physiology; statistics; AGING; CHILD; DENTITION; GROWTH; INFANT; PHYSIOLOGY; STATISTICS; Aging; Child; Dentition; Growth; Infant; Physiology; Statistics",Article,"Final",,Scopus,2-s2.0-75449132299
"Demirjian A., Goldstein H., Tanner J.M.","7005987478;7203025236;7201406833;","A new system of dental age assessment",1973,"Human Biology","45","2",,"211","227",,1154,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015879505&partnerID=40&md5=01f8db45588eee526a040cdcbc37d29b","Cent. Rech. Croissance, Univ. Montreal, Canada","Demirjian, A., Cent. Rech. Croissance, Univ. Montreal, Canada; Goldstein, H., Cent. Rech. Croissance, Univ. Montreal, Canada; Tanner, J.M., Cent. Rech. Croissance, Univ. Montreal, Canada","A new method is given for estimating dental maturity or dental age, by reference to the radiological appearances of the 7 teeth on the left side of the mandible. Panoramic radiographs of 1446 boys and 1482 girls of French Canadian parentage have been used. Each tooth has been rated according to developmental criteria (amount of dentinal deposit, shape change of the pulp chamber, etc.) rather than changes in size. Eight stages, A to H, have been defined from the first appearance of calcified points to the closure of the apex. The method of Tanner, Whitehouse and Healy for skeletal maturity has been used for deriving a score for each stage of each tooth. The summed scores on all seven teeth give a dental maturity score which can be converted directly into a dental age. In case of missing teeth, the possibility of using combinations of different teeth is discussed. Although the maturity scoring system is probably universal in application, the conversion to dental age, or the location of the centiles for maturity at given ages, depends on the population considered. The present system is applicable from age 3 to 17; the authors hope to extend it to younger ages as material accumulates.",,"age; age determination; bone maturation; mandible; maturation; methodology; normal human; theoretical study; tooth; Adolescent; Adult; Age Determination by Teeth; Age Factors; Child; Child, Preschool; Dentition; Female; Human; Male; Methods; Tooth; Tooth Eruption",Article,"Final",,Scopus,2-s2.0-0015879505
"Brothwell D.R.","",[No title available],1981,"Digging Up Bones",,,,"","",,1043,,,,"Brothwell, D.R.",[No abstract available],,,,,,Scopus,2-s2.0-0004130575
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,957,"10.1016/S1361-8415(97)85012-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031107378&doi=10.1016%2fS1361-8415%2897%2985012-8&partnerID=40&md5=13e7bb81c1f834c67647b53d0eefa883","Institute of Gerontology, University of Michigan, 300 North Ingalls Building, Ann Arbor, MI 48109-2007, United States","Bookstein, F.L., Institute of Gerontology, University of Michigan, 300 North Ingalls Building, Ann Arbor, MI 48109-2007, United States","Morphometrics, a new branch of statistics, combines tools from geometry, computer graphics and biometrics in techniques for the multivariate analysis of biological shape variation. Although medical image analysts typically prefer to represent scenes by way of curving outlines or surfaces, the most recent developments in this associated statistical methodology have emphasized the domain of landmark data: size and shape of configurations of discrete, named points in two or three dimensions. This paper introduces a combination of Procrustes analysis and thin-plate splines, the two most powerful tools of landmark-based morphometrics, for multivariate analysis of curving outlines in samples of biomedical images. The thin-plate spline is used to assign point-to-point correspondences, called semi-landmarks, between curves of similar but variable shape, while the standard algorithm for Procrustes shape averages and shape coordinates is altered to accord with the ways in which semi-landmarks formally differ from more traditional landmark loci. Subsequent multivariate statistics and visualization proceed mainly as in the landmark-based methods. The combination provides a range of complementary filters, from high pass to low pass, for effects on outline shape in grouped studies. The low-pass version is based on the spectrum of the spline, the high pass, on a familiar special case of Procrustes analysis. This hybrid method is demonstrated in a comparison of the shape of the corpus callosum from mid-sagittal sections of MRI of 25 human brains, 12 normal and 13 with schizophrenia.","Morphometrics; Multivariate analysis; Outlines; Procrustes analysis; Thin-plate spline","algorithm; article; corpus callosum; histology; human; image processing; methodology; multivariate analysis; nuclear magnetic resonance imaging; pathology; schizophrenia; statistics; Algorithms; Corpus Callosum; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Multivariate Analysis; Schizophrenia",Article,"Final",,Scopus,2-s2.0-0031107378
