Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Abdulla M.A., Ahmed I., Assawamakin A., Bhak J., Brahmachari S.K., Calacal G.C., Chaurasia A., Chen C.-H., Chen J., Chen Y.-T., Chu J., Cutiongco-de La Paz E.M.C., De Ungria M.C.A., Delfin F.C., Edo J., Fuchareon S., Ghang H., Gojobori T., Han J., Ho S.-F., Hoh B.P., Huang W., Inoko H., Jha P., Jinam T.A., Jin L., Jung J., Kangwanpong D., Kampuansai J., Kennedy G.C., Khurana P., Kim H.-L., Kim K., Kim S., Kim W.-Y., Kimm K., Kimura R., Koike T., Kulawonganunchai S., Kumar V., Lai P.S., Lee J.-Y., Lee S., Liu E.T., Majumder P.P., Mandapati K.K., Marzuki S., Mitchell W., Mukerji M., Naritomi K., Ngamphiw C., Niikawa N., Nishida N., Oh B., Oh S., Ohashi J., Oka A., Ong R., Padilla C.D., Palittapongarnpim P., Perdigon H.B., Phipps M.E., Png E., Sakaki Y., Salvador J.M., Sandraling Y., Scaria V., Seielstad M., Sidek M.R., Sinha A., Srikummool M., Sudoyo H., Sugano S., Suryadi H., Suzuki Y., Tabbada K.A., Tan A., Tokunaga K., Tongsima S., Villamor L.P., Wang E., Wang Y., Wang H., Wu J.-Y., Xiao H., Xu S., Yang J.O., Shugart Y.Y., Yoo H.-S., Yuan W., Zhao G., Zilfalil B.A.","35263660500;24328848700;21741838300;24461045900;7006276404;7801425069;55371071700;27169442500;35184890000;56496251400;7402881099;25632099800;6602253073;6603277199;24401001600;6504579263;26428726800;35370722600;57199891610;16642386900;57210809183;57211502480;35379809800;56264540400;35200628100;36815180100;12143811500;57189531955;15822169000;7201789175;24328702400;35278256500;57202965688;57201923850;7405812657;35472594400;7201883169;35345287900;25925105800;35885447600;7202946489;24787752300;8501924000;7202240109;35227678800;15052105700;56231838700;36902690100;6602114276;7005467076;21743304700;36050383200;16069241400;8983899800;55702556700;35395786800;55205880800;21834840500;7005993844;6603739116;35345648000;7004889156;23668655900;35353722700;7101616971;35345778500;8876981800;6602617241;6504316148;7403679668;15822924000;6603548824;35354458800;6506151941;55624480005;8586097700;56714740100;55066408600;55910026300;35081328800;57198157815;56957268000;57196427319;7409255678;57209143238;35270681200;16557251100;7003298956;57198789410;7201517348;7403296532;6507377118;","Mapping human genetic diversity in Asia",2009,"Science","326","5959",,"1541","1545",,351,"10.1126/science.1177074",2-s2.0-72149083621
"Baab K.L.","23388659700;","The taxonomic implications of cranial shape variation in Homo erectus",2008,"Journal of Human Evolution","54","6",,"827","847",,69,"10.1016/j.jhevol.2007.11.003",2-s2.0-43249118263
"Bahuchet S.","","L'invention des Pygmées",1993,"Cahiers d'Études Africaines","33","129",,"153","181",,24,,2-s2.0-85050832107
"Barker G.","7202030377;","The archaeology of foraging and farming at Niah Cave, Sarawak",2005,"Asian Perspectives","44","1",,"90","106",,38,,2-s2.0-18644374018
"Barker G., Barton H., Bird M., Daly P., Datan I., Dykes A., Farr L., Gilbertson D., Harrisson B., Hunt C., Higham T., Kealhofer L., Krigbaum J., Lewis H., McLaren S., Paz V., Pike A., Piper P., Pyatt B., Rabett R., Reynolds T., Rose J., Rushworth G., Stephens M., Stringer C., Thompson J., Turney C.","7202030377;56275123500;7102578362;7101813771;15847899500;7003338785;35368381800;7004660494;15848196700;7201450822;7003799879;6602327303;6507599027;35574048800;7006430993;15848946300;55566368400;15849018500;8652910100;15849163500;8539962900;16064302000;15849352300;7201574994;7005875885;57198874275;7003984281;","The 'human revolution' in lowland tropical Southeast Asia: the antiquity and behavior of anatomically modern humans at Niah Cave (Sarawak, Borneo)",2007,"Journal of Human Evolution","52","3",,"243","261",,279,"10.1016/j.jhevol.2006.08.011",2-s2.0-33847034067
"BARROWS D.P.","57188891909;","THE NEGRITO AND ALLIED TYPES IN THE PHILIPPINES",1910,"American Anthropologist","12","3",,"358","376",,7,"10.1525/aa.1910.12.3.02a00020",2-s2.0-84890076459
"Bautista A.P., de Vos J.","",[No title available],2000,"Archaeological Exploration and Excavation At Solana, Cagayan",,,,"","",,6,,2-s2.0-84890094713
"Bean R.B.","",[No title available],1910,"The Racial Anatomy of the Philippine Islanders",,,,"","",,4,,2-s2.0-55349107388
"BEAN R.B.","57190322805;","TYPES OF NEGRITOS IN THE PHILIPPINE ISLANDS",1910,"American Anthropologist","12","2",,"220","236",,6,"10.1525/aa.1910.12.2.02a00040",2-s2.0-78651387468
"Becker N.S.A., Verdu P., Froment A., Le Bomin S., Pagezy H., Bahuchet S., Heyer E.","36937604200;14319444300;7005494385;14323499800;6602881060;23970356700;56250782500;","Indirect evidence for the genetic determination of short stature in African Pygmies",2011,"American Journal of Physical Anthropology","145","3",,"390","401",,35,"10.1002/ajpa.21512",2-s2.0-79959311958
"Becker N.S.A., Verdu P., Hewlett B., Pavard S.","36937604200;14319444300;7003585009;23006001700;","Can life history trade-offs explain the evolution of short stature in human pygmies? A response to Migliano et al. (2007)",2010,"Human Biology","82","1",,"17","27",,25,"10.3378/027.082.0101",2-s2.0-77952980147
"Bellwood P.","6602236565;","Holocene population history in the pacific region as a model for worldwide food producer dispersals",2011,"Current Anthropology","52","SUPPL. 4",,"S363","S378",,54,"10.1086/658181",2-s2.0-80054879202
