Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3980,,,,"Bookstein, F.L.",[No abstract available],,,,,,Scopus,2-s2.0-0003597817
"Klingenberg C.P.","7004588456;","MorphoJ: An integrated software package for geometric morphometrics",2011,"Molecular Ecology Resources","11","2",,"353","357",,1769,"10.1111/j.1755-0998.2010.02924.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650839801&doi=10.1111%2fj.1755-0998.2010.02924.x&partnerID=40&md5=d30b5ebcfc053aa3854553146529e97f","Faculty of Life Sciences, University of Manchester, Michael Smith Building, Manchester M13 9PT, United Kingdom","Klingenberg, C.P., Faculty of Life Sciences, University of Manchester, Michael Smith Building, Manchester M13 9PT, United Kingdom","Increasingly, data on shape are analysed in combination with molecular genetic or ecological information, so that tools for geometric morphometric analysis are required. Morphometric studies most often use the arrangements of morphological landmarks as the data source and extract shape information from them by Procrustes superimposition. The MorphoJ software combines this approach with a wide range of methods for shape analysis in different biological contexts. The program offers an integrated and user-friendly environment for standard multivariate analyses such as principal components, discriminant analysis and multivariate regression as well as specialized applications including phylogenetics, quantitative genetics and analyses of modularity in shape data. MorphoJ is written in Java and versions for the Windows, Macintosh and Unix/Linux platforms are freely available from © 2010 Blackwell Publishing Ltd.","Geometric morphometrics; Multivariate statistics; Phylogeny; Procrustes superimposition; Quantitative genetics; Shape","article; computer interface; computer program; genetic procedures; instrumentation; multivariate analysis; phylogeny; Genetic Techniques; Multivariate Analysis; Phylogeny; Software; User-Computer Interface",Article,"Final",,Scopus,2-s2.0-78650839801
"Zelditch M.L., Swiderski D.L., Sheets H.D., Fink W.L.","",[No title available],2004,"Geometric Morphometrics for Biologists: A Primer",,,,"","",,689,,,,"Zelditch, M.L.; Swiderski, D.L.; Sheets, H.D.; Fink, W.L.",[No abstract available],,,,"Final",,Scopus,2-s2.0-85013705089
"Rohlf F.J.","",[No title available],2006,"TpsDig, Version 2.10",,,,"","",,561,,,,"Rohlf, F.J.",[No abstract available],,,,"Final",,Scopus,2-s2.0-46749110881
"Frison G.C.","",[No title available],1991,"Prehistoric Hunters of the High Plains",,,,"","",,455,,,,"Frison, G.C.",[No abstract available],,,,,,Scopus,2-s2.0-0003516497
"Klingenberg C.P., Montero L.R.","7004588456;7103010498;","Distances and directions in multidimensional shape spaces: Implications for morphometric applications",2005,"Systematic Biology","54","4",,"678","688",,229,"10.1080/10635150590947258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-15244360917&doi=10.1080%2f10635150590947258&partnerID=40&md5=a68d6d969ae9cf7676441cc6f0b88c47","Faculty of Life Sciences, University of Manchester, Michael Smith Building, Oxford Road, Manchester M13 9PT, United Kingdom; Laboratório de Ciências Ambientais, Centro de Biociencias e Biotecnologia, Campos dos Goytacazes, Avenida Alberto Lamego 2000, 28013-600, Rio de Janeiro, Brazil","Klingenberg, C.P., Faculty of Life Sciences, University of Manchester, Michael Smith Building, Oxford Road, Manchester M13 9PT, United Kingdom; Montero, L.R., Laboratório de Ciências Ambientais, Centro de Biociencias e Biotecnologia, Campos dos Goytacazes, Avenida Alberto Lamego 2000, 28013-600, Rio de Janeiro, Brazil",[No abstract available],,"anatomy; biological model; biology; biometry; genetic selection; methodology; morphometrics; multivariate analysis; review; Anatomy; Biometry; Body Weights and Measures; Computational Biology; Models, Genetic; Multivariate Analysis; Selection (Genetics)",Review,"Final",Open Access,Scopus,2-s2.0-15244360917
"Wormington H.M.","","Ancient Man in North America",1957,"Ancient Man in North America",,,,"","",,157,,,,"Wormington, H.M.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0003653888
"Haynes C.V.","","Contributions of radiocarbon dating to the geochronology of the peopling of the New World",1992,"Radiocarbon after Four Decades",,,,"355","374",,111,,,,"Haynes, C.V.",[No abstract available],,,,,,Scopus,2-s2.0-0002448307
"Kovarovic K., Aiello L.C., Cardini A., Lockwood C.A.","15827625200;7006805529;21933368100;7102516713;","Discriminant function analyses in archaeology: Are classification rates too good to be true?",2011,"Journal of Archaeological Science","38","11",,"3006","3018",,101,"10.1016/j.jas.2011.06.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053448090&doi=10.1016%2fj.jas.2011.06.028&partnerID=40&md5=afd624be686edaa950e3b47fe2e0f06b","Department of Anthropology, Durham University, South Road, Durham DH1 3LE, United Kingdom; The Wenner-Gren Foundation, 470 Park Avenue South, 8th Floor, New York City, NY 10016, United States; Dipartimento di Biologia, Universitá di Modena e Reggio Emilia, Via Campi 213, 41100 Modena, Italy; Hull York Medical School, University of Hull and University of York, Heslington, York YO10 5DD, United Kingdom; Centre for Forensic Science, The University of Western Australia, 35 Stirling Highway, Crawley WA 6009, Australia; Department of Anthropology, University College London, 14 Taviton Street, London WC1H 0BW, United Kingdom","Kovarovic, K., Department of Anthropology, Durham University, South Road, Durham DH1 3LE, United Kingdom; Aiello, L.C., The Wenner-Gren Foundation, 470 Park Avenue South, 8th Floor, New York City, NY 10016, United States; Cardini, A., Dipartimento di Biologia, Universitá di Modena e Reggio Emilia, Via Campi 213, 41100 Modena, Italy, Hull York Medical School, University of Hull and University of York, Heslington, York YO10 5DD, United Kingdom, Centre for Forensic Science, The University of Western Australia, 35 Stirling Highway, Crawley WA 6009, Australia; Lockwood, C.A., Department of Anthropology, University College London, 14 Taviton Street, London WC1H 0BW, United Kingdom","The use of discriminant function analyses (DFA) in archaeological and related research is on the increase, however many of the assumptions of this method receive a mixed treatment in the literature. Statisticians frequently use complex statistical models to investigate analytical parameters, but such idealised datasets may be hard to relate to ""real-life"" examples and the literature difficult to assess. Using two faunal datasets that are more typical of archaeological and related research, one comprised of size-corrected linear measurements of bovid humeri and another of 3D geometric morphometric (GMM) shape data of African monkey skulls, and two simulated datasets, we illustrate some of the most important but often ignored issues of DFA. We specifically show why it is paramount to address ""over-fitting"" by cross-validation when applying this method and how the probability of correctly classifying cases by chance can be properly and explicitly taken into account. © 2011.","Classification accuracy; Cross-validation; Discriminant function analysis; Over-fitting; Resampling","archaeology; classification; data set; discriminant analysis; numerical model; primate; probability; skull; statistical analysis; Bovidae",Article,"Final",,Scopus,2-s2.0-80053448090
"O'Brien M.J., Lyman R.L.","","Seriation, Stratigraphy, and Index Fossils: The Backbone of Archaeological Dating",1999,"Seriation, Stratigraphy, and Index Fossils: The Backbone of Archaeological Dating",,,,"","",,86,,,,"O'Brien, M.J.; Lyman, R.L.",[No abstract available],,,,"Final",,Scopus,2-s2.0-0004077490
